param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  4  7  5  3  9  7  5  2  9  10  9  5  3  4  10  9
2  4  100  4  8  10  7  10  7  7  5  8  4  8  8  8  4  8
3  7  4  100  3  7  6  5  9  4  3  9  10  8  6  4  4  8
4  5  8  3  100  5  4  7  10  6  8  8  9  10  9  4  2  5
5  3  10  7  5  100  6  5  10  2  2  6  10  5  4  7  4  4
6  9  7  6  4  6  100  4  5  4  7  3  10  5  3  4  9  3
7  7  10  5  7  5  4  100  7  4  10  2  9  2  7  7  3  9
8  5  7  9  10  10  5  7  100  5  3  4  4  4  4  7  8  3
9  2  7  4  6  2  4  4  5  100  10  7  4  2  6  8  5  9
10  9  5  3  8  2  7  10  3  10  100  6  9  6  10  8  2  4
11  10  8  9  8  6  3  2  4  7  6  100  7  6  9  10  10  10
12  9  4  10  9  10  10  9  4  4  9  7  100  9  6  9  10  6
13  5  8  8  10  5  5  2  4  2  6  6  9  100  9  7  8  9
14  3  8  6  9  4  3  7  4  6  10  9  6  9  100  2  9  6
15  4  8  4  4  7  4  7  7  8  8  10  9  7  2  100  10  7
16  10  4  4  2  4  9  3  8  5  2  10  10  8  9  10  100  4
17  9  8  8  5  4  3  9  3  9  4  10  6  9  6  7  4  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  3  100  100  100  100  100  100  100  4  10  100  100  3  6  100  8
2  3  100  2  10  100  100  100  100  100  100  100  100  100  6  5  100  100
3  100  2  100  8  100  100  100  100  100  100  100  100  100  100  100  7  100
4  100  10  8  100  3  100  100  5  100  100  100  100  100  100  100  100  3
5  100  100  100  3  100  3  100  100  100  7  100  100  100  100  100  100  100
6  100  100  100  100  3  100  5  100  100  100  100  100  100  5  100  100  100
7  100  100  100  100  100  5  100  2  100  5  6  100  9  5  100  9  100
8  100  100  100  5  100  100  2  100  4  6  100  100  100  10  3  100  100
9  100  100  100  100  100  100  100  4  100  3  100  6  3  100  100  8  100
10  4  100  100  100  7  100  5  6  3  100  10  100  100  7  100  100  100
11  10  100  100  100  100  100  6  100  100  10  100  7  100  100  3  100  100
12  100  100  100  100  100  100  100  100  6  100  7  100  2  100  100  100  100
13  100  100  100  100  100  100  9  100  3  100  100  2  100  10  100  100  100
14  3  6  100  100  100  5  5  10  100  7  100  100  10  100  6  100  6
15  6  5  100  100  100  100  100  3  100  100  3  100  100  6  100  10  100
16  100  100  7  100  100  100  9  100  8  100  100  100  100  100  10  100  8
17  8  100  100  3  100  100  100  100  100  100  100  100  100  6  100  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  1  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  1  0
4  .  .  .  .  1  0  0  1  0  0  0  0  0  0  0  0  1
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  1  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  1  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  1
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  3
2  7  8
3  12  13
4  1  2
5  1  14
6  4  5
7  4  17
8  5  6
9  8  15
10  9  10
11  9  13
12  11  15
13  1  10
14  8  9
15  4  8
16  3  16
;
