param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  2  6  9  7  10  9  4  7  2  6  6  8  9  9  6  5
2  2  100  9  4  3  7  6  3  2  2  3  6  8  8  4  2  9
3  6  9  100  8  2  9  8  3  9  3  7  2  6  2  2  7  4
4  9  4  8  100  8  8  6  4  6  6  3  7  3  7  4  6  7
5  7  3  2  8  100  4  6  10  8  7  9  5  3  8  8  7  9
6  10  7  9  8  4  100  7  8  5  6  4  10  10  10  7  5  7
7  9  6  8  6  6  7  100  10  5  9  7  6  6  5  7  2  3
8  4  3  3  4  10  8  10  100  4  4  8  5  8  4  3  3  5
9  7  2  9  6  8  5  5  4  100  3  5  6  8  6  4  9  9
10  2  2  3  6  7  6  9  4  3  100  10  3  9  6  10  6  2
11  6  3  7  3  9  4  7  8  5  10  100  7  2  6  9  2  3
12  6  6  2  7  5  10  6  5  6  3  7  100  7  3  6  2  8
13  8  8  6  3  3  10  6  8  8  9  2  7  100  6  5  8  10
14  9  8  2  7  8  10  5  4  6  6  6  3  6  100  3  6  6
15  9  4  2  4  8  7  7  3  4  10  9  6  5  3  100  6  10
16  6  2  7  6  7  5  2  3  9  6  2  2  8  6  6  100  9
17  5  9  4  7  9  7  3  5  9  2  3  8  10  6  10  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  3  100  10  100  100  100  10  100  100  100  6  100  100  100  100  2
2  3  100  7  9  2  8  100  100  100  6  8  9  2  100  10  100  100
3  100  7  100  9  100  100  100  100  100  100  7  100  100  6  100  4  100
4  10  9  9  100  10  7  4  100  100  100  100  100  6  100  6  100  100
5  100  2  100  10  100  2  100  100  2  100  100  100  100  100  100  10  4
6  100  8  100  7  2  100  8  3  100  100  100  8  100  6  100  100  100
7  100  100  100  4  100  8  100  2  7  3  100  10  100  100  100  100  100
8  10  100  100  100  100  3  2  100  2  100  100  2  100  100  100  2  100
9  100  100  100  100  2  100  7  2  100  7  100  100  2  100  10  6  100
10  100  6  100  100  100  100  3  100  7  100  10  100  3  3  100  3  5
11  100  8  7  100  100  100  100  100  100  10  100  10  100  100  8  100  6
12  6  9  100  100  100  8  10  2  100  100  10  100  4  100  2  100  100
13  100  2  100  6  100  100  100  100  2  3  100  4  100  7  100  100  100
14  100  100  6  100  100  6  100  100  100  3  100  100  7  100  3  100  100
15  100  10  100  6  100  100  100  100  10  100  8  2  100  3  100  4  3
16  100  100  4  100  10  100  100  2  6  3  100  100  100  100  4  100  9
17  2  100  100  100  4  100  100  100  100  5  6  100  100  100  3  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  1  0
4  .  .  .  .  0  0  1  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  1  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  1  0  0  0  1  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  1  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  1
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  1  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  1  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  17
2  2  5
3  2  13
4  5  6
5  5  9
6  7  8
7  8  9
8  8  12
9  8  16
10  12  15
11  1  2
12  7  10
13  10  14
14  3  16
15  4  7
16  11  17
;
