param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  9  3  10  8  4  2  9  8  5  9  7  9  2  4  8  3
2  9  100  5  6  8  4  7  3  9  4  3  3  9  8  7  10  5
3  3  5  100  4  9  9  7  3  7  7  3  10  8  10  9  10  2
4  10  6  4  100  6  4  8  6  6  3  10  8  4  10  7  7  4
5  8  8  9  6  100  6  7  5  10  4  8  3  5  10  3  10  5
6  4  4  9  4  6  100  10  5  5  7  2  2  2  8  6  3  7
7  2  7  7  8  7  10  100  5  6  7  3  9  9  5  5  6  4
8  9  3  3  6  5  5  5  100  5  5  5  4  6  6  3  7  6
9  8  9  7  6  10  5  6  5  100  9  4  8  3  4  5  9  6
10  5  4  7  3  4  7  7  5  9  100  3  10  6  5  2  2  4
11  9  3  3  10  8  2  3  5  4  3  100  4  9  2  8  4  3
12  7  3  10  8  3  2  9  4  8  10  4  100  7  6  10  6  5
13  9  9  8  4  5  2  9  6  3  6  9  7  100  10  9  8  2
14  2  8  10  10  10  8  5  6  4  5  2  6  10  100  2  8  3
15  4  7  9  7  3  6  5  3  5  2  8  10  9  2  100  9  7
16  8  10  10  7  10  3  6  7  9  2  4  6  8  8  9  100  10
17  3  5  2  4  5  7  4  6  6  4  3  5  2  3  7  10  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  6  100  100  100  100  7  100  100  9  100  100  100  100  100  100  9
2  6  100  6  100  100  100  4  100  100  100  100  100  100  100  100  100  100
3  100  6  100  6  8  100  100  100  100  100  5  100  100  100  100  2  100
4  100  100  6  100  8  100  100  100  4  100  100  100  100  2  10  100  100
5  100  100  8  8  100  8  100  100  100  100  3  100  100  9  100  100  100
6  100  100  100  100  8  100  10  100  100  100  100  8  100  100  100  100  100
7  7  4  100  100  100  10  100  3  100  2  100  100  100  100  100  2  100
8  100  100  100  100  100  100  3  100  9  100  100  4  9  100  100  100  100
9  100  100  100  4  100  100  100  9  100  2  100  100  100  8  100  100  100
10  9  100  100  100  100  100  2  100  2  100  10  100  100  100  100  2  100
11  100  100  5  100  3  100  100  100  100  10  100  10  100  100  100  100  100
12  100  100  100  100  100  8  100  4  100  100  10  100  10  100  100  100  100
13  100  100  100  100  100  100  100  9  100  100  100  10  100  5  8  4  100
14  100  100  100  2  9  100  100  100  8  100  100  100  5  100  9  100  100
15  100  100  100  10  100  100  100  100  100  100  100  100  8  9  100  8  100
16  100  100  2  100  100  100  2  100  100  2  100  100  4  100  8  100  10
17  9  100  100  100  100  100  100  100  100  100  100  100  100  100  100  10  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  1  0  0  0  0  1  0
4  .  .  .  .  0  0  0  0  1  0  0  0  0  1  0  0  0
5  .  .  .  .  .  1  0  0  0  0  1  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  1  0  0  0  0  0  1  0
8  .  .  .  .  .  .  .  .  0  0  0  1  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  1  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  1  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  1  0  0  0
5  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  1  0  0  0  0  0  1  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  3  16
2  4  14
3  7  10
4  7  16
5  9  10
6  5  11
7  7  8
8  2  7
9  4  9
10  8  12
11  13  16
12  3  11
13  1  2
14  5  6
15  13  15
16  1  17
;
