param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  5  5  8  2  6  9  5  9  3  6  7  6  8  2  4  10
2  5  100  5  5  3  9  4  7  2  5  8  9  3  10  2  5  3
3  5  5  100  3  5  7  2  9  9  4  4  8  2  8  4  5  5
4  8  5  3  100  2  6  2  2  4  7  2  2  6  4  4  6  9
5  2  3  5  2  100  7  9  10  10  5  2  10  9  9  5  2  10
6  6  9  7  6  7  100  4  5  2  4  3  7  3  2  6  9  6
7  9  4  2  2  9  4  100  7  10  6  10  6  9  5  9  3  4
8  5  7  9  2  10  5  7  100  9  3  9  9  3  9  3  7  4
9  9  2  9  4  10  2  10  9  100  6  4  5  7  5  8  3  5
10  3  5  4  7  5  4  6  3  6  100  8  2  5  7  3  8  6
11  6  8  4  2  2  3  10  9  4  8  100  8  9  3  2  7  2
12  7  9  8  2  10  7  6  9  5  2  8  100  4  2  7  6  2
13  6  3  2  6  9  3  9  3  7  5  9  4  100  9  7  5  5
14  8  10  8  4  9  2  5  9  5  7  3  2  9  100  7  10  9
15  2  2  4  4  5  6  9  3  8  3  2  7  7  7  100  6  3
16  4  5  5  6  2  9  3  7  3  8  7  6  5  10  6  100  6
17  10  3  5  9  10  6  4  4  5  6  2  2  5  9  3  6  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  6  100  4  100  100  100  100  100  9  100  100  5  100  2  100  2
2  6  100  6  100  100  100  5  100  100  100  9  100  100  100  100  10  100
3  100  6  100  10  100  100  100  100  100  100  100  100  9  100  100  100  100
4  4  100  10  100  4  9  100  100  6  100  2  100  100  100  100  100  100
5  100  100  100  4  100  8  100  100  100  10  100  5  100  100  100  100  7
6  100  100  100  9  8  100  6  100  100  100  100  5  7  100  100  2  5
7  100  5  100  100  100  6  100  6  100  100  100  100  100  100  100  100  100
8  100  100  100  100  100  100  6  100  6  5  100  100  100  100  100  100  10
9  100  100  100  6  100  100  100  6  100  4  100  100  100  100  100  100  100
10  9  100  100  100  10  100  100  5  4  100  6  100  100  100  100  100  100
11  100  9  100  2  100  100  100  100  100  6  100  6  100  100  100  100  100
12  100  100  100  100  5  5  100  100  100  100  6  100  10  2  100  100  100
13  5  100  9  100  100  7  100  100  100  100  100  10  100  3  100  100  5
14  100  100  100  100  100  100  100  100  100  100  100  2  3  100  10  100  100
15  2  100  100  100  100  100  100  100  100  100  100  100  100  10  100  2  100
16  100  10  100  100  100  2  100  100  100  100  100  100  100  100  2  100  3
17  2  100  100  100  7  5  100  10  100  100  100  100  5  100  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  1  0  1  0  0  0  0  0  0  0  0  1  0  1  0  1
2  .  .  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  1  0  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  1  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  1  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  1  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  1  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  15
2  1  17
3  4  11
4  6  16
5  12  14
6  15  16
7  13  14
8  1  4
9  4  5
10  9  10
11  1  13
12  2  7
13  8  10
14  1  2
15  2  3
16  4  9
;
