param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  8  6  4  3  8  6  2  10  5  7  4  8  10  7  7  2
2  8  100  10  6  3  6  9  10  7  7  9  9  6  8  6  6  8
3  6  10  100  9  7  3  4  9  8  5  5  7  8  9  3  3  3
4  4  6  9  100  6  7  9  6  2  5  10  8  4  9  5  8  9
5  3  3  7  6  100  9  4  5  2  8  4  5  6  5  2  4  2
6  8  6  3  7  9  100  4  8  6  8  4  6  6  6  2  6  3
7  6  9  4  9  4  4  100  7  3  3  4  3  3  8  10  8  4
8  2  10  9  6  5  8  7  100  10  8  6  7  4  4  3  2  9
9  10  7  8  2  2  6  3  10  100  2  4  9  8  8  7  10  3
10  5  7  5  5  8  8  3  8  2  100  8  9  9  3  8  3  9
11  7  9  5  10  4  4  4  6  4  8  100  4  10  5  3  8  4
12  4  9  7  8  5  6  3  7  9  9  4  100  6  6  7  7  2
13  8  6  8  4  6  6  3  4  8  9  10  6  100  6  4  9  2
14  10  8  9  9  5  6  8  4  8  3  5  6  6  100  6  5  10
15  7  6  3  5  2  2  10  3  7  8  3  7  4  6  100  7  3
16  7  6  3  8  4  6  8  2  10  3  8  7  9  5  7  100  6
17  2  8  3  9  2  3  4  9  3  9  4  2  2  10  3  6  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  7  100  100  100  100  100  100  100  100  100  10  100  100  100  100  7
2  7  100  4  100  100  100  100  100  100  100  100  5  100  100  100  100  100
3  100  4  100  8  100  100  100  100  100  9  100  7  5  10  100  100  3
4  100  100  8  100  4  100  100  9  100  100  100  100  100  100  8  100  100
5  100  100  100  4  100  10  100  100  100  100  100  100  100  100  100  100  100
6  100  100  100  100  10  100  2  100  100  4  100  100  8  100  100  100  9
7  100  100  100  100  100  2  100  9  100  10  100  100  100  100  100  100  100
8  100  100  100  9  100  100  9  100  7  100  100  100  100  100  100  100  100
9  100  100  100  100  100  100  100  7  100  3  3  100  100  100  100  100  100
10  100  100  9  100  100  4  10  100  3  100  2  100  100  8  100  100  100
11  100  100  100  100  100  100  100  100  3  2  100  3  5  100  9  100  4
12  10  5  7  100  100  100  100  100  100  100  3  100  2  100  100  2  2
13  100  100  5  100  100  8  100  100  100  100  5  2  100  6  100  100  100
14  100  100  10  100  100  100  100  100  100  8  100  100  6  100  7  100  100
15  100  100  100  8  100  100  100  100  100  100  9  100  100  7  100  2  6
16  100  100  100  100  100  100  100  100  100  100  100  2  100  100  2  100  7
17  7  100  3  100  100  9  100  100  100  100  4  2  100  100  6  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  1
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  1  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  1  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  1
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  1  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  6  7
2  10  11
3  12  13
4  12  16
5  12  17
6  15  16
7  3  17
8  9  10
9  11  12
10  2  3
11  4  5
12  6  10
13  13  14
14  1  2
15  8  9
16  3  4
;
