param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  4  10  10  10  10  2  6  3  8  6  3  9  4  3  8  4
2  4  100  3  9  10  8  7  9  5  2  9  6  10  5  3  7  2
3  10  3  100  6  6  3  6  4  5  5  6  7  8  8  3  7  5
4  10  9  6  100  8  10  4  6  5  9  9  4  8  2  5  7  8
5  10  10  6  8  100  3  5  7  2  9  7  2  8  3  10  2  9
6  10  8  3  10  3  100  7  10  9  4  8  6  2  9  9  3  4
7  2  7  6  4  5  7  100  9  10  2  2  10  2  5  6  2  7
8  6  9  4  6  7  10  9  100  6  9  6  5  8  3  7  3  4
9  3  5  5  5  2  9  10  6  100  5  2  3  10  8  7  3  7
10  8  2  5  9  9  4  2  9  5  100  10  10  9  9  4  4  8
11  6  9  6  9  7  8  2  6  2  10  100  6  8  9  8  4  10
12  3  6  7  4  2  6  10  5  3  10  6  100  10  8  7  3  9
13  9  10  8  8  8  2  2  8  10  9  8  10  100  8  6  4  10
14  4  5  8  2  3  9  5  3  8  9  9  8  8  100  4  2  8
15  3  3  3  5  10  9  6  7  7  4  8  7  6  4  100  9  7
16  8  7  7  7  2  3  2  3  3  4  4  3  4  2  9  100  6
17  4  2  5  8  9  4  7  4  7  8  10  9  10  8  7  6  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  9  100  3  100  100  3  100  3  100  100  100  100  4  100  100  10
2  9  100  8  8  100  100  100  100  100  10  100  100  100  100  100  100  100
3  100  8  100  8  100  100  100  100  100  100  5  100  100  100  100  100  100
4  3  8  8  100  5  100  100  100  100  100  10  7  9  100  100  100  10
5  100  100  100  5  100  3  100  100  100  100  100  100  100  100  100  100  4
6  100  100  100  100  3  100  9  100  100  100  100  5  100  2  100  100  100
7  3  100  100  100  100  9  100  7  100  100  100  100  100  2  2  3  100
8  100  100  100  100  100  100  7  100  3  100  100  4  100  100  100  100  100
9  3  100  100  100  100  100  100  3  100  4  100  100  100  100  100  100  100
10  100  10  100  100  100  100  100  100  4  100  5  3  100  9  100  100  100
11  100  100  5  10  100  100  100  100  100  5  100  9  100  100  100  8  100
12  100  100  100  7  100  5  100  4  100  3  9  100  5  100  100  5  100
13  100  100  100  9  100  100  100  100  100  100  100  5  100  4  100  100  100
14  4  100  100  100  100  2  2  100  100  9  100  100  4  100  10  100  8
15  100  100  100  100  100  100  2  100  100  100  100  100  100  10  100  9  100
16  100  100  100  100  100  100  3  100  100  100  8  5  100  100  9  100  7
17  10  100  100  10  4  100  100  100  100  100  100  100  100  8  100  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  1  0  0  1  0  1  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  1  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  1
6  .  .  .  .  .  .  0  0  0  0  0  0  0  1  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  1  1  1  0
8  .  .  .  .  .  .  .  .  1  0  0  1  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  1  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  1  0  0  1  0  1  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  1  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  1  1  1  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  6  14
2  7  14
3  7  15
4  1  4
5  1  7
6  1  9
7  5  6
8  7  16
9  8  9
10  10  12
11  5  17
12  8  12
13  13  14
14  3  11
15  10  11
16  2  3
;
