param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  4  7  7  6  9  8  10  4  4  9  5  7  4  10  6  3
2  4  100  9  5  2  4  7  2  4  3  2  6  2  3  3  10  10
3  7  9  100  7  7  7  10  6  2  8  3  4  8  7  4  6  6
4  7  5  7  100  10  6  6  8  6  2  9  4  2  5  7  7  3
5  6  2  7  10  100  8  10  8  2  8  9  4  9  10  3  9  4
6  9  4  7  6  8  100  6  9  3  9  6  7  2  7  8  6  3
7  8  7  10  6  10  6  100  3  7  10  7  9  4  2  8  4  8
8  10  2  6  8  8  9  3  100  9  10  6  3  8  6  6  8  4
9  4  4  2  6  2  3  7  9  100  2  8  6  7  6  3  9  4
10  4  3  8  2  8  9  10  10  2  100  7  9  3  8  5  8  6
11  9  2  3  9  9  6  7  6  8  7  100  2  4  5  7  7  6
12  5  6  4  4  4  7  9  3  6  9  2  100  5  9  2  6  7
13  7  2  8  2  9  2  4  8  7  3  4  5  100  8  7  8  2
14  4  3  7  5  10  7  2  6  6  8  5  9  8  100  2  7  6
15  10  3  4  7  3  8  8  6  3  5  7  2  7  2  100  8  6
16  6  10  6  7  9  6  4  8  9  8  7  6  8  7  8  100  8
17  3  10  6  3  4  3  8  4  4  6  6  7  2  6  6  8  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  7  100  100  100  4  100  100  100  3  9  100  10  100  2  100  6
2  7  100  3  100  100  100  100  8  3  100  100  100  100  100  4  100  100
3  100  3  100  6  100  100  100  100  100  100  3  7  8  100  100  100  100
4  100  100  6  100  7  100  100  100  100  100  100  100  100  100  100  100  100
5  100  100  100  7  100  5  100  10  100  100  100  6  100  100  100  100  100
6  4  100  100  100  5  100  5  3  100  100  100  100  100  100  8  10  100
7  100  100  100  100  100  5  100  3  100  100  8  100  100  100  9  100  100
8  100  8  100  100  10  3  3  100  9  7  100  100  4  9  100  100  100
9  100  3  100  100  100  100  100  9  100  4  100  100  100  100  100  3  100
10  3  100  100  100  100  100  100  7  4  100  2  100  100  100  100  100  100
11  9  100  3  100  100  100  8  100  100  2  100  7  100  100  100  100  100
12  100  100  7  100  6  100  100  100  100  100  7  100  7  4  100  100  100
13  10  100  8  100  100  100  100  4  100  100  100  7  100  3  100  100  100
14  100  100  100  100  100  100  100  9  100  100  100  4  3  100  10  100  6
15  2  4  100  100  100  8  9  100  100  100  100  100  100  10  100  10  100
16  100  100  100  100  100  10  100  100  3  100  100  100  100  100  10  100  5
17  6  100  100  100  100  100  100  100  100  100  100  100  100  6  100  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  0  0  1  0  0  0  1  0  0  0  0  1  0  0
2  .  .  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  1  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  1  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  1  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  1  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0
2  .  .  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  1  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  1  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  15
2  10  11
3  1  10
4  2  3
5  2  9
6  3  11
7  6  8
8  7  8
9  9  16
10  13  14
11  1  6
12  8  13
13  12  14
14  5  6
15  16  17
16  3  4
;
