param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  8  4  3  6  8  7  7  3  5  3  8  7  2  6  4  4
2  8  100  3  9  10  10  2  9  10  2  4  5  3  4  4  3  10
3  4  3  100  5  6  6  4  2  2  2  8  4  6  4  4  7  7
4  3  9  5  100  6  9  4  6  2  9  10  10  9  3  10  9  8
5  6  10  6  6  100  5  6  8  8  6  7  7  6  7  5  3  7
6  8  10  6  9  5  100  8  8  9  5  4  9  9  5  3  6  4
7  7  2  4  4  6  8  100  7  6  9  5  2  8  8  4  4  4
8  7  9  2  6  8  8  7  100  4  2  9  7  7  10  3  7  6
9  3  10  2  2  8  9  6  4  100  2  5  4  7  2  6  8  7
10  5  2  2  9  6  5  9  2  2  100  2  7  2  2  8  4  6
11  3  4  8  10  7  4  5  9  5  2  100  9  6  10  9  10  3
12  8  5  4  10  7  9  2  7  4  7  9  100  10  3  10  2  3
13  7  3  6  9  6  9  8  7  7  2  6  10  100  6  5  3  7
14  2  4  4  3  7  5  8  10  2  2  10  3  6  100  9  8  4
15  6  4  4  10  5  3  4  3  6  8  9  10  5  9  100  3  5
16  4  3  7  9  3  6  4  7  8  4  10  2  3  8  3  100  3
17  4  10  7  8  7  4  4  6  7  6  3  3  7  4  5  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  8  100  100  100  100  2  100  100  100  7  100  100  3  100  100  6
2  8  100  2  10  100  100  100  100  100  100  4  100  100  100  100  100  100
3  100  2  100  2  100  4  2  100  100  2  100  100  100  100  100  100  100
4  100  10  2  100  9  100  100  100  100  3  100  100  100  100  100  100  6
5  100  100  100  9  100  6  100  100  100  100  100  100  100  100  100  100  5
6  100  100  4  100  6  100  8  100  100  100  2  3  100  100  6  100  9
7  2  100  2  100  100  8  100  10  100  100  100  10  100  100  100  100  100
8  100  100  100  100  100  100  10  100  6  100  100  100  100  6  7  4  100
9  100  100  100  100  100  100  100  6  100  2  100  100  100  100  100  100  100
10  100  100  2  3  100  100  100  100  2  100  2  4  100  100  100  100  100
11  7  4  100  100  100  2  100  100  100  2  100  3  100  100  100  100  100
12  100  100  100  100  100  3  10  100  100  4  3  100  5  100  100  100  100
13  100  100  100  100  100  100  100  100  100  100  100  5  100  5  6  100  100
14  3  100  100  100  100  100  100  6  100  100  100  100  5  100  7  9  7
15  100  100  100  100  100  6  100  7  100  100  100  100  6  7  100  5  100
16  100  100  100  100  100  100  100  4  100  100  100  100  100  9  5  100  9
17  6  100  100  6  5  9  100  100  100  100  100  100  100  7  100  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  1  0  0  1  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  1
6  .  .  .  .  .  .  0  0  0  0  1  1  0  0  1  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  1  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  1  0  0  1  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  7
2  2  3
3  3  4
4  3  7
5  3  10
6  6  11
7  9  10
8  10  11
9  1  14
10  6  12
11  8  16
12  5  17
13  12  13
14  15  16
15  1  17
16  6  15
;
