param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  9  3  2  7  10  6  6  9  6  2  2  5  9  9  5  3
2  9  100  7  10  5  2  8  5  10  8  6  7  10  10  3  10  7
3  3  7  100  6  10  8  4  3  6  9  9  2  9  9  5  7  4
4  2  10  6  100  5  5  8  7  8  4  5  6  3  3  9  6  9
5  7  5  10  5  100  3  2  4  3  10  9  5  9  5  10  2  10
6  10  2  8  5  3  100  5  5  4  3  8  3  6  3  7  2  7
7  6  8  4  8  2  5  100  3  3  10  4  7  3  3  2  9  2
8  6  5  3  7  4  5  3  100  9  9  7  2  10  4  10  3  8
9  9  10  6  8  3  4  3  9  100  6  10  7  5  5  9  3  2
10  6  8  9  4  10  3  10  9  6  100  6  2  10  3  3  9  10
11  2  6  9  5  9  8  4  7  10  6  100  6  10  9  5  5  5
12  2  7  2  6  5  3  7  2  7  2  6  100  7  9  3  6  5
13  5  10  9  3  9  6  3  10  5  10  10  7  100  5  3  10  3
14  9  10  9  3  5  3  3  4  5  3  9  9  5  100  5  10  2
15  9  3  5  9  10  7  2  10  9  3  5  3  3  5  100  9  4
16  5  10  7  6  2  2  9  3  3  9  5  6  10  10  9  100  7
17  3  7  4  9  10  7  2  8  2  10  5  5  3  2  4  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  3  100  100  100  100  7  10  100  100  5  7  100  100  100  100  3
2  3  100  6  100  100  4  9  100  100  100  100  5  100  100  7  100  7
3  100  6  100  4  100  100  100  100  100  100  100  100  100  100  100  9  5
4  100  100  4  100  9  9  100  100  7  5  100  100  100  100  100  100  7
5  100  100  100  9  100  9  100  100  100  100  3  100  100  100  10  100  9
6  100  4  100  9  9  100  7  4  100  8  100  100  100  100  100  100  100
7  7  9  100  100  100  7  100  4  100  100  2  100  100  100  100  3  100
8  10  100  100  100  100  4  4  100  10  100  9  100  100  100  100  100  100
9  100  100  100  7  100  100  100  10  100  2  100  100  100  100  100  100  100
10  100  100  100  5  100  8  100  100  2  100  10  100  100  100  100  6  100
11  5  100  100  100  3  100  2  9  100  10  100  7  100  100  100  3  100
12  7  5  100  100  100  100  100  100  100  100  7  100  10  7  5  100  100
13  100  100  100  100  100  100  100  100  100  100  100  10  100  5  100  100  100
14  100  100  100  100  100  100  100  100  100  100  100  7  5  100  7  100  100
15  100  7  100  100  10  100  100  100  100  100  100  5  100  7  100  10  100
16  100  100  9  100  100  100  3  100  100  6  3  100  100  100  10  100  10
17  3  7  5  7  9  100  100  100  100  100  100  100  100  100  100  10  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  1
4  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0
6  .  .  .  .  .  .  0  1  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  1  0  0  0  0  1  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  1  1  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  1  0  0  0  0  1  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  7  11
2  9  10
3  1  2
4  1  17
5  5  11
6  7  16
7  2  6
8  3  4
9  6  8
10  7  8
11  2  12
12  3  17
13  4  10
14  12  15
15  13  14
16  12  14
;
