param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  9  5  9  2  3  9  3  8  10  3  3  5  6  8  5  9
2  9  100  8  10  9  7  2  7  2  10  10  4  7  7  7  5  2
3  5  8  100  6  6  4  4  7  2  10  7  5  8  6  2  5  7
4  9  10  6  100  5  4  10  2  3  5  8  8  5  4  7  4  4
5  2  9  6  5  100  3  8  7  2  4  8  8  4  9  9  3  9
6  3  7  4  4  3  100  10  7  9  5  6  3  3  10  7  5  10
7  9  2  4  10  8  10  100  7  8  9  9  6  6  5  2  6  2
8  3  7  7  2  7  7  7  100  10  4  7  8  9  8  9  8  10
9  8  2  2  3  2  9  8  10  100  8  6  6  8  4  10  6  6
10  10  10  10  5  4  5  9  4  8  100  5  9  6  10  5  8  6
11  3  10  7  8  8  6  9  7  6  5  100  5  6  8  6  4  2
12  3  4  5  8  8  3  6  8  6  9  5  100  4  10  7  7  4
13  5  7  8  5  4  3  6  9  8  6  6  4  100  10  6  6  6
14  6  7  6  4  9  10  5  8  4  10  8  10  10  100  6  10  4
15  8  7  2  7  9  7  2  9  10  5  6  7  6  6  100  8  4
16  5  5  5  4  3  5  6  8  6  8  4  7  6  10  8  100  5
17  9  2  7  4  9  10  2  10  6  6  2  4  6  4  4  5  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  9  100  100  100  5  100  2  9  100  100  100  100  100  4  100  7
2  9  100  8  100  100  100  100  100  4  100  6  100  100  6  100  100  100
3  100  8  100  9  100  100  100  100  100  100  100  100  100  100  10  100  100
4  100  100  9  100  7  100  100  100  100  100  100  100  100  100  8  4  100
5  100  100  100  7  100  6  10  100  9  10  100  100  100  100  100  100  5
6  5  100  100  100  6  100  10  8  100  100  100  3  100  100  100  100  100
7  100  100  100  100  10  10  100  6  100  100  100  4  100  100  100  100  100
8  2  100  100  100  100  8  6  100  4  100  100  100  100  100  100  2  100
9  9  4  100  100  9  100  100  4  100  9  3  100  10  100  100  100  100
10  100  100  100  100  10  100  100  100  9  100  5  100  100  100  100  4  100
11  100  6  100  100  100  100  100  100  3  5  100  5  100  100  100  100  100
12  100  100  100  100  100  3  4  100  100  100  5  100  8  100  100  9  100
13  100  100  100  100  100  100  100  100  10  100  100  8  100  6  100  100  100
14  100  6  100  100  100  100  100  100  100  100  100  100  6  100  6  100  100
15  4  100  10  8  100  100  100  100  100  100  100  100  100  6  100  9  7
16  100  100  100  4  100  100  100  2  100  4  100  9  100  100  9  100  9
17  7  100  100  100  5  100  100  100  100  100  100  100  100  100  7  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  0  0  1  0  1  0  0  0  0  0  0  1  0  0
2  .  .  1  0  0  0  0  0  1  0  0  0  0  1  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  1  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  1
6  .  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  1  0
9  .  .  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  1  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0
2  .  .  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  1  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  1  0
9  .  .  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  8
2  8  16
3  6  12
4  9  11
5  1  15
6  2  9
7  4  16
8  7  12
9  8  9
10  10  16
11  1  6
12  5  17
13  2  14
14  5  6
15  13  14
16  2  3
;
