param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  9  4  3  2  2  9  3  3  4  6  8  7  10  9  10  4
2  9  100  6  3  3  10  4  3  2  2  8  7  6  5  5  5  9
3  4  6  100  10  5  6  5  9  9  5  7  7  9  7  8  9  10
4  3  3  10  100  4  5  3  10  5  7  9  9  5  9  7  2  4
5  2  3  5  4  100  6  7  9  8  3  9  7  5  8  2  6  2
6  2  10  6  5  6  100  3  6  9  2  6  7  9  9  4  9  6
7  9  4  5  3  7  3  100  4  6  10  6  5  10  5  9  6  2
8  3  3  9  10  9  6  4  100  7  4  9  2  10  6  7  6  5
9  3  2  9  5  8  9  6  7  100  2  4  8  8  8  5  8  7
10  4  2  5  7  3  2  10  4  2  100  2  6  9  10  4  9  7
11  6  8  7  9  9  6  6  9  4  2  100  10  7  8  7  2  7
12  8  7  7  9  7  7  5  2  8  6  10  100  6  6  4  8  6
13  7  6  9  5  5  9  10  10  8  9  7  6  100  9  6  5  9
14  10  5  7  9  8  9  5  6  8  10  8  6  9  100  6  7  9
15  9  5  8  7  2  4  9  7  5  4  7  4  6  6  100  4  8
16  10  5  9  2  6  9  6  6  8  9  2  8  5  7  4  100  3
17  4  9  10  4  2  6  2  5  7  7  7  6  9  9  8  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  5  100  100  100  100  100  5  100  7  6  100  100  3  100  9  9
2  5  100  8  100  3  10  100  100  100  100  6  100  100  100  100  100  100
3  100  8  100  7  100  100  9  3  100  100  100  100  100  100  6  9  100
4  100  100  7  100  5  100  100  100  100  6  2  100  100  100  7  100  100
5  100  3  100  5  100  5  100  100  9  100  100  100  100  100  9  100  100
6  100  10  100  100  5  100  3  100  100  100  100  100  2  100  100  100  100
7  100  100  9  100  100  3  100  6  100  100  100  9  4  100  100  100  8
8  5  100  3  100  100  100  6  100  10  100  100  100  100  100  100  100  100
9  100  100  100  100  9  100  100  10  100  10  100  100  100  100  100  100  100
10  7  100  100  6  100  100  100  100  10  100  3  100  100  8  5  100  100
11  6  6  100  2  100  100  100  100  100  3  100  5  4  100  100  100  100
12  100  100  100  100  100  100  9  100  100  100  5  100  8  100  9  100  100
13  100  100  100  100  100  2  4  100  100  100  4  8  100  4  100  100  100
14  3  100  100  100  100  100  100  100  100  8  100  100  4  100  6  100  3
15  100  100  6  7  9  100  100  100  100  5  100  9  100  6  100  8  100
16  9  100  9  100  100  100  100  100  100  100  100  100  100  100  8  100  9
17  9  100  100  100  100  100  8  100  100  100  100  100  100  3  100  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  1  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0
2  .  .  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  1  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  1  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  1  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
2  .  .  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  1  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  4  11
2  6  13
3  1  14
4  2  5
5  3  8
6  6  7
7  10  11
8  14  17
9  11  13
10  13  14
11  1  2
12  1  8
13  10  15
14  11  12
15  15  16
16  5  9
;
