param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  7  4  4  4  3  3  10  4  6  4  2  8  3  5  7  2
2  7  100  10  3  2  2  8  3  6  10  5  6  4  10  2  10  8
3  4  10  100  4  3  6  5  4  4  5  5  6  4  7  10  4  5
4  4  3  4  100  3  7  10  2  5  9  10  3  8  2  4  2  8
5  4  2  3  3  100  3  9  9  7  3  8  7  9  9  3  7  3
6  3  2  6  7  3  100  4  10  2  2  4  3  3  8  7  8  5
7  3  8  5  10  9  4  100  6  9  7  8  10  8  3  6  10  2
8  10  3  4  2  9  10  6  100  3  6  9  3  6  2  5  2  5
9  4  6  4  5  7  2  9  3  100  8  9  8  9  2  10  3  7
10  6  10  5  9  3  2  7  6  8  100  8  8  6  9  3  6  4
11  4  5  5  10  8  4  8  9  9  8  100  3  10  2  6  6  4
12  2  6  6  3  7  3  10  3  8  8  3  100  5  8  5  2  8
13  8  4  4  8  9  3  8  6  9  6  10  5  100  7  4  3  7
14  3  10  7  2  9  8  3  2  2  9  2  8  7  100  8  3  9
15  5  2  10  4  3  7  6  5  10  3  6  5  4  8  100  9  9
16  7  10  4  2  7  8  10  2  3  6  6  2  3  3  9  100  7
17  2  8  5  8  3  5  2  5  7  4  4  8  7  9  9  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  10  100  100  100  100  100  100  100  100  100  100  100  7  100  100  4
2  10  100  6  100  100  100  100  100  100  8  100  100  100  7  100  100  100
3  100  6  100  8  9  100  100  100  100  100  100  100  100  10  100  100  100
4  100  100  8  100  3  100  100  100  5  100  100  100  9  100  100  100  100
5  100  100  9  3  100  7  100  100  100  100  100  6  2  100  100  100  100
6  100  100  100  100  7  100  4  100  100  100  100  6  100  100  100  100  100
7  100  100  100  100  100  4  100  10  100  100  100  8  100  10  100  100  100
8  100  100  100  100  100  100  10  100  3  100  100  100  100  100  100  100  100
9  100  100  100  5  100  100  100  3  100  10  100  100  100  100  100  9  100
10  100  8  100  100  100  100  100  100  10  100  7  100  100  100  7  6  100
11  100  100  100  100  100  100  100  100  100  7  100  2  100  9  100  100  3
12  100  100  100  100  6  6  8  100  100  100  2  100  6  3  100  100  3
13  100  100  100  9  2  100  100  100  100  100  100  6  100  4  100  6  100
14  7  7  10  100  100  100  10  100  100  100  9  3  4  100  10  10  100
15  100  100  100  100  100  100  100  100  100  7  100  100  100  10  100  4  100
16  100  100  100  100  100  100  100  100  9  6  100  100  6  10  4  100  10
17  4  100  100  100  100  100  100  100  100  100  3  3  100  100  100  10  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  1  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  1  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  1
12  .  .  .  .  .  .  .  .  .  .  .  .  0  1  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  1  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  1
12  .  .  .  .  .  .  .  .  .  .  .  .  0  1  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  5  13
2  11  12
3  4  5
4  8  9
5  11  17
6  12  14
7  1  17
8  6  7
9  13  14
10  15  16
11  4  9
12  2  3
13  6  12
14  10  16
15  13  16
16  2  14
;
