param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  5  5  2  3  4  3  9  3  7  8  5  7  3  4  5  6
2  5  100  10  10  7  2  5  7  7  8  8  10  8  8  10  5  9
3  5  10  100  9  2  3  2  8  3  7  8  8  2  9  6  9  9
4  2  10  9  100  3  8  8  8  4  3  10  8  3  8  8  2  7
5  3  7  2  3  100  9  6  9  8  2  6  8  3  2  5  4  10
6  4  2  3  8  9  100  2  6  3  2  10  9  6  3  2  7  3
7  3  5  2  8  6  2  100  8  2  8  7  2  10  8  9  3  6
8  9  7  8  8  9  6  8  100  3  5  5  3  5  7  2  2  6
9  3  7  3  4  8  3  2  3  100  7  10  4  5  6  7  2  5
10  7  8  7  3  2  2  8  5  7  100  8  4  8  2  5  5  5
11  8  8  8  10  6  10  7  5  10  8  100  6  6  2  4  5  10
12  5  10  8  8  8  9  2  3  4  4  6  100  8  2  4  9  8
13  7  8  2  3  3  6  10  5  5  8  6  8  100  3  7  8  3
14  3  8  9  8  2  3  8  7  6  2  2  2  3  100  5  4  6
15  4  10  6  8  5  2  9  2  7  5  4  4  7  5  100  4  7
16  5  5  9  2  4  7  3  2  2  5  5  9  8  4  4  100  7
17  6  9  9  7  10  3  6  6  5  5  10  8  3  6  7  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  6  3  100  8  100  100  100  100  100  100  10  5  100  100  100  3
2  6  100  5  100  8  100  100  100  100  100  100  100  100  100  100  7  100
3  3  5  100  9  100  100  100  100  100  100  100  10  100  100  100  100  100
4  100  100  9  100  9  100  100  100  100  100  100  100  100  100  100  100  100
5  8  8  100  9  100  7  100  100  100  100  100  100  100  10  100  100  100
6  100  100  100  100  7  100  6  100  100  100  100  9  100  100  100  100  100
7  100  100  100  100  100  6  100  8  100  100  10  100  100  9  100  100  100
8  100  100  100  100  100  100  8  100  3  100  100  100  100  100  100  100  100
9  100  100  100  100  100  100  100  3  100  7  100  100  100  100  100  100  100
10  100  100  100  100  100  100  100  100  7  100  8  100  100  100  100  100  100
11  100  100  100  100  100  100  10  100  100  8  100  9  100  100  100  100  100
12  10  100  10  100  100  9  100  100  100  100  9  100  5  100  100  6  3
13  5  100  100  100  100  100  100  100  100  100  100  5  100  7  100  7  100
14  100  100  100  100  10  100  9  100  100  100  100  100  7  100  6  100  6
15  100  100  100  100  100  100  100  100  100  100  100  100  100  6  100  8  100
16  100  7  100  100  100  100  100  100  100  100  100  6  7  100  8  100  9
17  3  100  100  100  100  100  100  100  100  100  100  3  100  6  100  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  1  0  1  0  0  0  0  0  0  0  1  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  1  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  1  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  3
2  1  17
3  8  9
4  12  17
5  1  13
6  2  3
7  6  7
8  12  16
9  14  15
10  14  17
11  5  6
12  9  10
13  1  5
14  7  8
15  10  11
16  3  4
;
