param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  5  9  6  10  3  5  10  6  4  7  3  4  2  8  9  2
2  5  100  10  8  3  2  5  10  7  5  6  5  5  2  4  6  6
3  9  10  100  3  4  3  8  5  4  9  4  2  7  8  3  7  8
4  6  8  3  100  4  5  5  3  10  7  2  7  9  9  3  4  3
5  10  3  4  4  100  6  4  5  5  5  4  5  8  4  4  8  9
6  3  2  3  5  6  100  5  3  8  10  10  7  7  7  9  9  5
7  5  5  8  5  4  5  100  7  9  3  10  10  7  9  8  6  8
8  10  10  5  3  5  3  7  100  9  5  8  8  5  5  6  2  4
9  6  7  4  10  5  8  9  9  100  3  3  9  2  2  9  7  9
10  4  5  9  7  5  10  3  5  3  100  9  7  9  10  2  8  2
11  7  6  4  2  4  10  10  8  3  9  100  10  4  9  4  2  10
12  3  5  2  7  5  7  10  8  9  7  10  100  7  5  3  7  8
13  4  5  7  9  8  7  7  5  2  9  4  7  100  6  4  9  7
14  2  2  8  9  4  7  9  5  2  10  9  5  6  100  7  2  2
15  8  4  3  3  4  9  8  6  9  2  4  3  4  7  100  3  7
16  9  6  7  4  8  9  6  2  7  8  2  7  9  2  3  100  4
17  2  6  8  3  9  5  8  4  9  2  10  8  7  2  7  4  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  8  100  100  100  100  100  100  5  100  10  100  8  100  7  100  8
2  8  100  7  7  100  100  100  100  100  7  100  10  100  9  100  100  100
3  100  7  100  10  100  100  100  100  100  100  100  3  100  4  100  100  2
4  100  7  10  100  3  100  100  100  100  100  100  100  100  100  100  100  100
5  100  100  100  3  100  10  100  100  100  100  100  10  100  100  100  100  100
6  100  100  100  100  10  100  8  100  100  100  100  100  100  100  100  100  9
7  100  100  100  100  100  8  100  6  100  100  8  100  100  100  100  6  100
8  100  100  100  100  100  100  6  100  5  100  2  100  100  9  100  100  100
9  5  100  100  100  100  100  100  5  100  10  100  9  100  100  100  100  100
10  100  7  100  100  100  100  100  100  10  100  3  100  7  100  100  100  100
11  10  100  100  100  100  100  8  2  100  3  100  3  100  100  8  6  100
12  100  10  3  100  10  100  100  100  9  100  3  100  7  7  100  100  3
13  8  100  100  100  100  100  100  100  100  7  100  7  100  4  100  100  100
14  100  9  4  100  100  100  100  9  100  100  100  7  4  100  10  8  100
15  7  100  100  100  100  100  100  100  100  100  8  100  100  10  100  5  100
16  100  100  100  100  100  100  6  100  100  100  6  100  100  8  5  100  3
17  8  100  2  100  100  9  100  100  100  100  100  3  100  100  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
2  .  .  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  1  0  1  0  0  1
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  1  0  1  0  0  1
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  3  17
2  8  11
3  3  12
4  4  5
5  10  11
6  11  12
7  16  17
8  3  14
9  13  14
10  1  9
11  8  9
12  15  16
13  7  8
14  2  3
15  2  4
16  6  7
;
