param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  9  9  10  6  9  4  10  5  4  5  3  3
2  9  100  10  4  4  7  5  4  3  10  4  3  9
3  9  10  100  3  10  7  3  10  4  10  9  5  10
4  10  4  3  100  3  6  8  2  2  2  7  6  7
5  6  4  10  3  100  5  3  10  10  2  10  6  5
6  9  7  7  6  5  100  10  10  8  9  2  7  3
7  4  5  3  8  3  10  100  9  10  5  8  8  8
8  10  4  10  2  10  10  9  100  8  3  3  9  7
9  5  3  4  2  10  8  10  8  100  10  8  5  2
10  4  10  10  2  2  9  5  3  10  100  6  5  2
11  5  4  9  7  10  2  8  3  8  6  100  6  5
12  3  3  5  6  6  7  8  9  5  5  6  100  6
13  3  9  10  7  5  3  8  7  2  2  5  6  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  8  100  100  100  100  100  100  100  100  100  100  4
2  8  100  10  100  100  100  100  2  100  100  100  100  100
3  100  10  100  7  8  100  100  2  3  10  7  100  100
4  100  100  7  100  9  100  100  100  5  100  100  100  100
5  100  100  8  9  100  9  100  100  100  7  100  5  100
6  100  100  100  100  9  100  3  100  100  100  100  100  100
7  100  100  100  100  100  3  100  5  100  100  100  9  100
8  100  2  2  100  100  100  5  100  2  100  100  100  100
9  100  100  3  5  100  100  100  2  100  9  100  100  100
10  100  100  10  100  7  100  100  100  9  100  2  10  100
11  100  100  7  100  100  100  100  100  100  2  100  10  100
12  100  100  100  100  5  100  9  100  100  10  10  100  2
13  4  100  100  100  100  100  100  100  100  100  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  1  0  0  0  0  0
3  .  .  .  0  0  0  0  1  0  0  1  0  0
4  .  .  .  .  0  0  0  0  1  0  0  0  0
5  .  .  .  .  .  0  0  0  0  1  0  1  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  1  0  0  0  0  0
3  .  .  .  0  0  0  0  1  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  8
2  3  8
3  8  9
4  10  11
5  12  13
6  6  7
7  1  13
8  4  9
9  5  12
10  7  8
11  3  11
12  5  10
;
