param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  7  7  9  5  4  10  5  10  6  7  6  7
2  7  100  10  5  3  7  8  7  5  2  4  3  3
3  7  10  100  2  5  4  10  4  7  10  3  9  7
4  9  5  2  100  8  5  10  9  4  2  3  10  3
5  5  3  5  8  100  3  5  9  7  8  2  8  10
6  4  7  4  5  3  100  2  3  2  6  2  7  6
7  10  8  10  10  5  2  100  6  10  8  8  3  4
8  5  7  4  9  9  3  6  100  6  6  2  10  8
9  10  5  7  4  7  2  10  6  100  8  3  10  3
10  6  2  10  2  8  6  8  6  8  100  10  8  6
11  7  4  3  3  2  2  8  2  3  10  100  7  3
12  6  3  9  10  8  7  3  10  10  8  7  100  6
13  7  3  7  3  10  6  4  8  3  6  3  6  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  8  6  100  100  100  100  100  100  9  100  100  3
2  8  100  3  9  100  100  100  100  100  100  100  100  8
3  6  3  100  4  100  100  100  9  10  100  100  100  8
4  100  9  4  100  6  100  4  100  100  100  5  100  100
5  100  100  100  6  100  10  100  5  100  100  6  100  100
6  100  100  100  100  10  100  8  100  100  3  100  100  4
7  100  100  100  4  100  8  100  6  100  100  8  100  100
8  100  100  9  100  5  100  6  100  10  6  100  100  100
9  100  100  10  100  100  100  100  10  100  5  100  100  100
10  9  100  100  100  100  3  100  6  5  100  10  7  100
11  100  100  100  5  6  100  8  100  100  10  100  4  100
12  100  100  100  100  100  100  100  100  100  7  4  100  2
13  3  8  8  100  100  4  100  100  100  100  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  1  0  0  0  1  0  0
5  .  .  .  .  .  0  0  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  1  0  0  1
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  1  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  12  13
2  1  13
3  2  3
4  6  10
5  3  4
6  4  7
7  6  13
8  11  12
9  4  11
10  5  8
11  9  10
12  4  5
;
