param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  7  4  2  5  9  4  10  4  10  5  4  3
2  7  100  10  8  4  7  8  7  2  2  3  10  7
3  4  10  100  3  3  4  5  10  3  9  8  4  2
4  2  8  3  100  5  9  5  8  3  6  5  7  6
5  5  4  3  5  100  9  10  9  3  6  3  7  9
6  9  7  4  9  9  100  9  10  4  2  8  8  2
7  4  8  5  5  10  9  100  3  5  8  8  5  9
8  10  7  10  8  9  10  3  100  8  10  8  7  10
9  4  2  3  3  3  4  5  8  100  2  9  7  5
10  10  2  9  6  6  2  8  10  2  100  5  9  2
11  5  3  8  5  3  8  8  8  9  5  100  3  10
12  4  10  4  7  7  8  5  7  7  9  3  100  5
13  3  7  2  6  9  2  9  10  5  2  10  5  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  7  100  100  100  2  100  100  100  100  100  4  4
2  7  100  3  100  9  100  100  3  100  100  100  100  100
3  100  3  100  8  100  100  100  100  100  100  100  100  10
4  100  100  8  100  4  100  100  100  100  100  3  100  100
5  100  9  100  4  100  7  8  100  100  10  100  100  100
6  2  100  100  100  7  100  4  100  100  100  100  100  100
7  100  100  100  100  8  4  100  8  4  100  100  100  100
8  100  3  100  100  100  100  8  100  5  100  100  100  100
9  100  100  100  100  100  100  4  5  100  2  10  100  4
10  100  100  100  100  10  100  100  100  2  100  9  6  4
11  100  100  100  3  100  100  100  100  10  9  100  8  100
12  4  100  100  100  100  100  100  100  100  6  8  100  9
13  4  100  10  100  100  100  100  100  4  4  100  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  0  1  0  0  0  0  0  1  1
2  .  .  1  0  0  0  0  1  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  1  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  1  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  1  0  0  0  0  0  1  0
2  .  .  1  0  0  0  0  1  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  1  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  6
2  9  10
3  2  3
4  2  8
5  4  11
6  1  12
7  1  13
8  4  5
9  6  7
10  7  9
11  8  9
12  1  2
;
