param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  3  6  3  4  3  2  10  6  7  6  4  10
2  3  100  8  9  6  7  3  6  9  7  5  8  7
3  6  8  100  6  7  3  9  2  2  3  7  6  2
4  3  9  6  100  10  9  5  8  9  9  3  5  3
5  4  6  7  10  100  6  4  10  8  4  9  10  10
6  3  7  3  9  6  100  5  6  3  10  4  7  6
7  2  3  9  5  4  5  100  10  5  9  3  7  9
8  10  6  2  8  10  6  10  100  5  5  4  9  2
9  6  9  2  9  8  3  5  5  100  4  9  9  4
10  7  7  3  9  4  10  9  5  4  100  6  10  8
11  6  5  7  3  9  4  3  4  9  6  100  8  3
12  4  8  6  5  10  7  7  9  9  10  8  100  10
13  10  7  2  3  10  6  9  2  4  8  3  10  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  9  100  100  100  100  4  100  100  100  100  2  5
2  9  100  6  100  100  100  100  100  100  100  100  100  100
3  100  6  100  4  100  100  100  3  100  8  100  100  8
4  100  100  4  100  7  100  100  100  100  100  100  100  4
5  100  100  100  7  100  8  100  100  3  100  100  100  4
6  100  100  100  100  8  100  2  100  100  100  100  100  100
7  4  100  100  100  100  2  100  2  7  100  100  100  100
8  100  100  3  100  100  100  2  100  5  100  100  100  5
9  100  100  100  100  3  100  7  5  100  4  100  100  100
10  100  100  8  100  100  100  100  100  4  100  9  100  100
11  100  100  100  100  100  100  100  100  100  9  100  2  100
12  2  100  100  100  100  100  100  100  100  100  2  100  5
13  5  100  8  4  4  100  100  5  100  100  100  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  1  0  0  0  0  1  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  1  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  1
5  .  .  .  .  .  0  0  0  1  0  0  0  1
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  1  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  1  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  1  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  12
2  6  7
3  7  8
4  11  12
5  3  8
6  5  9
7  1  7
8  3  4
9  4  13
10  5  13
11  9  10
12  2  3
;
