param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  2  2  5  8  3  3  5  3  6  3  5  8
2  2  100  2  5  3  10  2  10  3  3  6  2  3
3  2  2  100  4  3  10  2  6  8  10  4  7  10
4  5  5  4  100  7  5  3  2  4  9  4  3  3
5  8  3  3  7  100  10  8  6  2  3  7  8  6
6  3  10  10  5  10  100  3  10  6  2  2  10  2
7  3  2  2  3  8  3  100  8  5  7  7  3  6
8  5  10  6  2  6  10  8  100  6  10  10  9  10
9  3  3  8  4  2  6  5  6  100  6  7  10  5
10  6  3  10  9  3  2  7  10  6  100  5  9  9
11  3  6  4  4  7  2  7  10  7  5  100  7  9
12  5  2  7  3  8  10  3  9  10  9  7  100  2
13  8  3  10  3  6  2  6  10  5  9  9  2  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  4  100  100  100  100  100  100  100  100  100  100  8
2  4  100  2  100  8  100  100  100  100  100  100  100  100
3  100  2  100  7  100  100  9  9  100  5  6  100  100
4  100  100  7  100  2  100  100  100  100  100  100  100  100
5  100  8  100  2  100  8  100  100  6  100  100  100  100
6  100  100  100  100  8  100  3  100  100  100  100  100  100
7  100  100  9  100  100  3  100  9  100  100  100  100  100
8  100  100  9  100  100  100  9  100  10  100  100  100  100
9  100  100  100  100  6  100  100  10  100  10  2  100  100
10  100  100  5  100  100  100  100  100  10  100  6  100  100
11  100  100  6  100  100  100  100  100  2  6  100  8  100
12  100  100  100  100  100  100  100  100  100  100  8  100  5
13  8  100  100  100  100  100  100  100  100  100  100  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  1  1  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  1  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  1  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  1  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  1  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  3
2  4  5
3  9  11
4  6  7
5  1  2
6  3  10
7  12  13
8  3  11
9  5  9
10  3  4
11  1  13
12  5  6
;
