param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  3  2  2  6  5  4  5  7  5  10  2  10
2  3  100  9  6  8  3  3  4  8  9  2  5  2
3  2  9  100  2  4  9  10  3  5  9  5  9  3
4  2  6  2  100  3  4  8  9  9  10  4  7  6
5  6  8  4  3  100  8  10  6  9  9  8  10  4
6  5  3  9  4  8  100  8  6  9  10  10  9  9
7  4  3  10  8  10  8  100  3  3  6  2  4  2
8  5  4  3  9  6  6  3  100  9  6  8  5  10
9  7  8  5  9  9  9  3  9  100  3  6  9  9
10  5  9  9  10  9  10  6  6  3  100  2  5  6
11  10  2  5  4  8  10  2  8  6  2  100  3  6
12  2  5  9  7  10  9  4  5  9  5  3  100  9
13  10  2  3  6  4  9  2  10  9  6  6  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  5  100  100  6  100  100  100  100  100  100  100  10
2  5  100  10  6  100  100  100  6  100  5  100  100  100
3  100  10  100  8  100  4  100  100  3  100  100  100  100
4  100  6  8  100  10  100  8  10  100  100  100  100  100
5  6  100  100  10  100  4  100  100  100  5  2  100  100
6  100  100  4  100  4  100  6  100  100  100  100  100  5
7  100  100  100  8  100  6  100  4  100  7  100  100  6
8  100  6  100  10  100  100  4  100  7  100  7  100  100
9  100  100  3  100  100  100  100  7  100  8  100  100  100
10  100  5  100  100  5  100  7  100  8  100  6  100  100
11  100  100  100  100  2  100  100  7  100  6  100  10  100
12  100  100  100  100  100  100  100  100  100  100  10  100  2
13  10  100  100  100  100  5  6  100  100  100  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  1  0  0  0  1  0  1  0  0  0
3  .  .  .  0  0  1  0  0  1  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  1  1  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  1
7  .  .  .  .  .  .  .  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  1  0  0  1  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  1  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  5  11
2  12  13
3  3  9
4  3  6
5  5  6
6  7  8
7  1  2
8  2  10
9  5  10
10  6  13
11  2  4
12  2  8
;
