param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  3  7  4  6  5  2  5  2  4  7  9  10
2  3  100  4  6  7  9  2  2  8  4  6  6  2
3  7  4  100  10  9  6  4  10  5  3  3  8  2
4  4  6  10  100  9  6  7  5  9  3  3  10  8
5  6  7  9  9  100  10  3  10  5  6  8  5  10
6  5  9  6  6  10  100  10  9  2  4  4  9  4
7  2  2  4  7  3  10  100  5  2  10  6  9  4
8  5  2  10  5  10  9  5  100  7  10  4  4  7
9  2  8  5  9  5  2  2  7  100  2  9  4  8
10  4  4  3  3  6  4  10  10  2  100  4  3  8
11  7  6  3  3  8  4  6  4  9  4  100  9  10
12  9  6  8  10  5  9  9  4  4  3  9  100  10
13  10  2  2  8  10  4  4  7  8  8  10  10  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  8  100  8  100  100  100  5  100  5  100  9  10
2  8  100  6  100  100  100  100  100  100  100  100  100  100
3  100  6  100  10  100  100  100  9  100  100  100  100  2
4  8  100  10  100  9  100  10  100  100  100  9  100  100
5  100  100  100  9  100  6  100  100  4  100  100  100  100
6  100  100  100  100  6  100  4  100  100  100  100  100  7
7  100  100  100  10  100  4  100  5  9  100  100  100  100
8  5  100  9  100  100  100  5  100  7  100  100  100  100
9  100  100  100  100  4  100  9  7  100  5  100  100  5
10  5  100  100  100  100  100  100  100  5  100  4  100  100
11  100  100  100  9  100  100  100  100  100  4  100  3  4
12  9  100  100  100  100  100  100  100  100  100  3  100  3
13  10  100  2  100  100  7  100  100  5  100  4  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  1  0  0  0  1  0  1  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  1
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  1  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  1
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  1  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  3  13
2  11  12
3  12  13
4  5  9
5  6  7
6  10  11
7  1  8
8  1  10
9  7  8
10  9  10
11  2  3
12  1  4
;
