param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  2  7  3  6  7  8  3  2  10  3  8  10
2  2  100  9  5  2  9  6  5  8  10  5  3  3
3  7  9  100  8  10  9  7  8  10  7  2  4  3
4  3  5  8  100  5  9  3  2  6  3  8  3  5
5  6  2  10  5  100  10  7  9  6  7  3  10  8
6  7  9  9  9  10  100  7  2  5  10  10  4  3
7  8  6  7  3  7  7  100  7  8  10  10  9  5
8  3  5  8  2  9  2  7  100  3  6  3  6  9
9  2  8  10  6  6  5  8  3  100  5  8  3  6
10  10  10  7  3  7  10  10  6  5  100  6  9  9
11  3  5  2  8  3  10  10  3  8  6  100  6  7
12  8  3  4  3  10  4  9  6  3  9  6  100  3
13  10  3  3  5  8  3  5  9  6  9  7  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  10  100  100  100  6  100  100  100  100  100  100  7
2  10  100  5  8  100  100  100  100  8  100  9  100  100
3  100  5  100  10  100  100  100  100  100  100  100  100  4
4  100  8  10  100  2  4  100  100  100  10  100  100  3
5  100  100  100  2  100  8  100  100  6  100  7  100  100
6  6  100  100  4  8  100  9  100  100  100  100  100  8
7  100  100  100  100  100  9  100  7  100  100  3  5  100
8  100  100  100  100  100  100  7  100  2  100  100  100  100
9  100  8  100  100  6  100  100  2  100  3  4  100  100
10  100  100  100  10  100  100  100  100  3  100  5  100  100
11  100  9  100  100  7  100  3  100  4  5  100  10  100
12  100  100  100  100  100  100  5  100  100  100  10  100  3
13  7  100  4  3  100  8  100  100  100  100  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  1  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  1
4  .  .  .  .  1  1  0  0  0  0  0  0  1
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  1  1  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  1  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  1
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  1  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  4  5
2  8  9
3  4  13
4  7  11
5  9  10
6  12  13
7  3  13
8  4  6
9  9  11
10  2  3
11  7  12
12  1  6
;
