param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  9  6  9  7  3  5  3  10  6  7  3  9
2  9  100  7  2  2  4  9  7  7  8  7  2  8
3  6  7  100  9  7  7  3  2  7  8  5  5  2
4  9  2  9  100  9  4  7  6  8  7  6  10  8
5  7  2  7  9  100  5  10  10  5  8  2  5  6
6  3  4  7  4  5  100  10  6  8  10  10  4  8
7  5  9  3  7  10  10  100  2  4  3  10  6  7
8  3  7  2  6  10  6  2  100  5  3  4  8  10
9  10  7  7  8  5  8  4  5  100  5  3  6  7
10  6  8  8  7  8  10  3  3  5  100  5  5  9
11  7  7  5  6  2  10  10  4  3  5  100  8  6
12  3  2  5  10  5  4  6  8  6  5  8  100  7
13  9  8  2  8  6  8  7  10  7  9  6  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  6  100  4  100  100  100  100  100  100  100  4  2
2  6  100  4  100  7  100  8  100  100  100  100  100  100
3  100  4  100  4  100  9  100  100  100  2  100  5  100
4  4  100  4  100  2  100  100  6  100  100  100  100  4
5  100  7  100  2  100  2  100  4  100  100  100  100  100
6  100  100  9  100  2  100  2  100  100  100  100  100  5
7  100  8  100  100  100  2  100  2  2  100  7  100  100
8  100  100  100  6  4  100  2  100  3  100  100  100  100
9  100  100  100  100  100  100  2  3  100  7  100  9  100
10  100  100  2  100  100  100  100  100  7  100  2  100  100
11  100  100  100  100  100  100  7  100  100  2  100  3  100
12  4  100  5  100  100  100  100  100  9  100  3  100  2
13  2  100  100  4  100  5  100  100  100  100  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  1  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  1  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  1  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  1  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  13
2  3  10
3  4  5
4  5  6
5  6  7
6  7  8
7  7  9
8  10  11
9  12  13
10  11  12
11  1  4
12  2  3
;
