param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  9  7  3  8  4  3  3  5  8  10  8  10
2  9  100  3  4  5  10  10  6  10  5  7  3  5
3  7  3  100  4  9  8  3  10  7  9  6  10  8
4  3  4  4  100  2  9  3  2  10  9  8  3  9
5  8  5  9  2  100  4  6  4  7  2  2  10  5
6  4  10  8  9  4  100  5  3  6  9  8  6  2
7  3  10  3  3  6  5  100  7  10  6  6  5  8
8  3  6  10  2  4  3  7  100  2  2  7  9  9
9  5  10  7  10  7  6  10  2  100  6  6  9  9
10  8  5  9  9  2  9  6  2  6  100  7  5  7
11  10  7  6  8  2  8  6  7  6  7  100  4  2
12  8  3  10  3  10  6  5  9  9  5  4  100  3
13  10  5  8  9  5  2  8  9  9  7  2  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  9  100  100  10  9  100  100  100  100  100  100  7
2  9  100  8  100  2  4  100  100  100  100  100  100  100
3  100  8  100  5  100  100  5  100  100  100  5  100  100
4  100  100  5  100  10  100  2  100  100  100  100  100  100
5  10  2  100  10  100  6  10  100  4  100  5  100  2
6  9  4  100  100  6  100  10  2  100  100  100  100  100
7  100  100  5  2  10  10  100  2  100  5  100  100  100
8  100  100  100  100  100  2  2  100  9  100  100  10  100
9  100  100  100  100  4  100  100  9  100  7  100  3  100
10  100  100  100  100  100  100  5  100  7  100  9  100  100
11  100  100  5  100  5  100  100  100  100  9  100  8  100
12  100  100  100  100  100  100  100  10  3  100  8  100  8
13  7  100  100  100  2  100  100  100  100  100  100  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  1  1  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  1  0  0
4  .  .  .  .  0  0  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  1  0  0  0  1
6  .  .  .  .  .  .  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  1  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  1  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  1  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  1
6  .  .  .  .  .  .  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  1  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  5
2  4  7
3  5  13
4  6  8
5  7  8
6  9  12
7  2  6
8  5  9
9  3  4
10  3  11
11  7  10
12  1  13
;
