param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  8  2  8  5  10  6  9  10  2  2  3  2
2  8  100  6  10  7  7  8  5  9  6  7  4  7
3  2  6  100  4  2  10  6  3  10  8  6  7  5
4  8  10  4  100  8  5  10  7  6  2  5  6  8
5  5  7  2  8  100  10  3  9  6  5  5  9  3
6  10  7  10  5  10  100  3  7  2  6  5  7  9
7  6  8  6  10  3  3  100  6  6  7  8  2  7
8  9  5  3  7  9  7  6  100  9  8  6  8  7
9  10  9  10  6  6  2  6  9  100  4  3  5  6
10  2  6  8  2  5  6  7  8  4  100  5  10  4
11  2  7  6  5  5  5  8  6  3  5  100  10  8
12  3  4  7  6  9  7  2  8  5  10  10  100  3
13  2  7  5  8  3  9  7  7  6  4  8  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  9  100  100  100  100  8  5  100  6  100  100  5
2  9  100  4  100  100  100  100  8  8  100  100  100  100
3  100  4  100  7  100  100  100  100  8  100  100  2  100
4  100  100  7  100  6  100  3  100  100  100  100  100  100
5  100  100  100  6  100  5  100  100  100  100  6  100  100
6  100  100  100  100  5  100  3  10  100  100  100  100  3
7  8  100  100  3  100  3  100  8  7  100  100  100  100
8  5  8  100  100  100  10  8  100  3  100  100  100  100
9  100  8  8  100  100  100  7  3  100  3  100  100  5
10  6  100  100  100  100  100  100  100  3  100  4  100  100
11  100  100  100  100  6  100  100  100  100  4  100  4  100
12  100  100  2  100  100  100  100  100  100  100  4  100  5
13  5  100  100  100  100  3  100  100  5  100  100  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  1  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  1  0
4  .  .  .  .  0  0  1  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  1
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  1  0
4  .  .  .  .  0  0  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  1
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  3  12
2  4  7
3  6  7
4  6  13
5  8  9
6  9  10
7  2  3
8  10  11
9  11  12
10  1  8
11  1  13
12  5  6
;
