param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  2  6  6  5  6  8  2  2  10  7  3  9
2  2  100  6  6  8  8  3  8  4  5  5  6  3
3  6  6  100  6  10  4  5  2  10  9  10  4  2
4  6  6  6  100  3  8  9  10  3  10  6  4  4
5  5  8  10  3  100  6  6  8  6  8  2  2  5
6  6  8  4  8  6  100  5  3  5  5  4  3  3
7  8  3  5  9  6  5  100  6  3  4  10  2  6
8  2  8  2  10  8  3  6  100  6  4  7  9  2
9  2  4  10  3  6  5  3  6  100  7  10  10  8
10  10  5  9  10  8  5  4  4  7  100  5  7  9
11  7  5  10  6  2  4  10  7  10  5  100  6  5
12  3  6  4  4  2  3  2  9  10  7  6  100  2
13  9  3  2  4  5  3  6  2  8  9  5  2  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  2  100  100  100  100  100  100  6  10  100  100  2
2  2  100  2  100  100  100  100  100  100  100  100  100  100
3  100  2  100  4  2  100  100  7  100  100  100  4  4
4  100  100  4  100  8  100  100  5  100  100  100  100  100
5  100  100  2  8  100  3  100  100  100  100  100  100  100
6  100  100  100  100  3  100  5  100  100  100  100  4  100
7  100  100  100  100  100  5  100  3  100  100  100  100  100
8  100  100  7  5  100  100  3  100  5  100  8  100  100
9  6  100  100  100  100  100  100  5  100  3  100  100  100
10  10  100  100  100  100  100  100  100  3  100  7  7  2
11  100  100  100  100  100  100  100  8  100  7  100  10  100
12  100  100  4  100  100  4  100  100  100  7  10  100  4
13  2  100  4  100  100  100  100  100  100  2  100  4  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  1  0  0  0  0  0  0  1  0
4  .  .  .  .  0  0  0  1  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  1
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  1  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  1
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  2
2  1  13
3  2  3
4  3  5
5  10  13
6  5  6
7  7  8
8  9  10
9  3  4
10  3  12
11  4  8
12  10  11
;
