param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  7  3  10  8  7  10  3  10  9  10  4  9
2  7  100  6  4  4  9  2  7  2  7  10  3  9
3  3  6  100  7  10  5  9  10  4  9  6  4  3
4  10  4  7  100  10  5  10  5  10  9  10  2  10
5  8  4  10  10  100  5  10  7  5  10  10  6  7
6  7  9  5  5  5  100  3  2  6  4  8  9  2
7  10  2  9  10  10  3  100  3  4  6  10  4  5
8  3  7  10  5  7  2  3  100  4  7  6  10  7
9  10  2  4  10  5  6  4  4  100  8  2  7  10
10  9  7  9  9  10  4  6  7  8  100  4  10  6
11  10  10  6  10  10  8  10  6  2  4  100  4  6
12  4  3  4  2  6  9  4  10  7  10  4  100  9
13  9  9  3  10  7  2  5  7  10  6  6  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  6  100  2  100  9  6  100  4  100  100  100  5
2  6  100  5  100  100  100  100  100  100  4  100  100  100
3  100  5  100  5  100  100  100  100  2  7  100  100  100
4  2  100  5  100  4  7  8  100  100  100  100  100  100
5  100  100  100  4  100  9  100  100  100  100  100  100  100
6  9  100  100  7  9  100  4  5  100  100  100  100  100
7  6  100  100  8  100  4  100  4  100  4  100  100  100
8  100  100  100  100  100  5  4  100  10  100  100  100  100
9  4  100  2  100  100  100  100  10  100  7  2  2  6
10  100  4  7  100  100  100  4  100  7  100  2  5  100
11  100  100  100  100  100  100  100  100  2  2  100  10  100
12  100  100  100  100  100  100  100  100  2  5  10  100  5
13  5  100  100  100  100  100  100  100  6  100  100  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  1  0  0  0  0  1  0  0  0  1
2  .  .  0  0  0  0  0  0  0  1  0  0  0
3  .  .  .  0  0  0  0  0  1  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  1  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  1  1  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  1  0  0  0  0  1  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  1  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  1  1  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  4
2  3  9
3  9  11
4  9  12
5  10  11
6  1  9
7  2  10
8  4  5
9  6  7
10  7  8
11  7  10
12  1  13
;
