param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  7  3  9  10  7  9  6  7  2  8  10  6
2  7  100  7  4  4  7  8  4  3  9  6  10  5
3  3  7  100  8  10  8  4  9  2  7  10  5  3
4  9  4  8  100  8  9  4  4  8  2  6  8  10
5  10  4  10  8  100  10  10  8  9  8  9  10  5
6  7  7  8  9  10  100  6  5  7  7  8  8  8
7  9  8  4  4  10  6  100  4  10  4  6  5  9
8  6  4  9  4  8  5  4  100  7  5  7  10  5
9  7  3  2  8  9  7  10  7  100  3  7  2  4
10  2  9  7  2  8  7  4  5  3  100  4  10  3
11  8  6  10  6  9  8  6  7  7  4  100  6  8
12  10  10  5  8  10  8  5  10  2  10  6  100  5
13  6  5  3  10  5  8  9  5  4  3  8  5  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  4  100  6  9  100  100  100  2  2  5  100  2
2  4  100  5  100  100  100  100  100  100  100  100  5  3
3  100  5  100  3  100  100  100  5  3  100  100  100  100
4  6  100  3  100  8  100  100  100  100  4  3  100  100
5  9  100  100  8  100  2  100  100  100  100  100  4  100
6  100  100  100  100  2  100  6  3  100  100  100  100  7
7  100  100  100  100  100  6  100  10  100  100  100  8  100
8  100  100  5  100  100  3  10  100  7  100  100  100  100
9  2  100  3  100  100  100  100  7  100  7  100  10  100
10  2  100  100  4  100  100  100  100  7  100  8  7  100
11  5  100  100  3  100  100  100  100  100  8  100  3  10
12  100  5  100  100  4  100  8  100  10  7  3  100  7
13  2  3  100  100  100  7  100  100  100  100  10  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  1  1  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  1
3  .  .  .  1  0  0  0  1  1  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  1  0  0
5  .  .  .  .  .  1  0  0  0  0  0  1  0
6  .  .  .  .  .  .  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  1  1  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  1
3  .  .  .  1  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  9
2  1  10
3  1  13
4  5  6
5  2  13
6  3  4
7  3  9
8  4  11
9  6  8
10  11  12
11  5  12
12  3  8
;
