param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  9  4  3  8  10  9  5  5  6  10  2  9
2  9  100  7  5  10  8  10  9  8  2  9  4  6
3  4  7  100  8  6  2  10  8  6  3  3  4  2
4  3  5  8  100  10  3  9  2  8  6  8  2  7
5  8  10  6  10  100  8  5  3  2  10  9  4  10
6  10  8  2  3  8  100  7  8  9  6  3  10  6
7  9  10  10  9  5  7  100  9  6  7  5  3  10
8  5  9  8  2  3  8  9  100  6  4  10  9  7
9  5  8  6  8  2  9  6  6  100  10  5  6  2
10  6  2  3  6  10  6  7  4  10  100  6  7  2
11  10  9  3  8  9  3  5  10  5  6  100  10  4
12  2  4  4  2  4  10  3  9  6  7  10  100  9
13  9  6  2  7  10  6  10  7  2  2  4  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  5  100  7  100  100  9  100  4  100  100  100  2
2  5  100  9  100  100  100  100  100  100  100  100  100  100
3  100  9  100  4  100  100  100  100  3  10  100  100  10
4  7  100  4  100  7  100  100  100  100  100  100  100  100
5  100  100  100  7  100  6  100  6  3  100  2  100  100
6  100  100  100  100  6  100  3  100  100  100  100  100  100
7  9  100  100  100  100  3  100  7  100  100  8  2  100
8  100  100  100  100  6  100  7  100  2  100  100  100  100
9  4  100  3  100  3  100  100  2  100  5  2  100  100
10  100  100  10  100  100  100  100  100  5  100  4  100  100
11  100  100  100  100  2  100  8  100  2  4  100  6  100
12  100  100  100  100  100  100  2  100  100  100  6  100  4
13  2  100  10  100  100  100  100  100  100  100  100  4  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  0  0  0  0  1  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  1  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  1  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  1  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  1  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  1  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  1  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  1  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  1  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  13
2  5  11
3  7  12
4  8  9
5  9  11
6  3  9
7  6  7
8  1  9
9  3  4
10  10  11
11  12  13
12  1  2
;
