param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  6  10  3  10  5  4  3  3  9  2  10  3
2  6  100  7  5  3  4  3  7  3  10  7  4  8
3  10  7  100  5  10  5  7  8  10  2  10  9  9
4  3  5  5  100  3  7  2  4  10  9  7  10  3
5  10  3  10  3  100  6  8  10  5  5  9  8  10
6  5  4  5  7  6  100  8  10  3  2  7  8  9
7  4  3  7  2  8  8  100  8  3  8  7  6  3
8  3  7  8  4  10  10  8  100  2  8  9  9  8
9  3  3  10  10  5  3  3  2  100  9  5  3  3
10  9  10  2  9  5  2  8  8  9  100  6  6  2
11  2  7  10  7  9  7  7  9  5  6  100  10  3
12  10  4  9  10  8  8  6  9  3  6  10  100  9
13  3  8  9  3  10  9  3  8  3  2  3  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  3  100  100  100  100  100  100  100  100  100  100  9
2  3  100  8  100  100  100  100  100  100  100  100  100  100
3  100  8  100  6  100  100  100  100  100  100  5  100  100
4  100  100  6  100  9  10  100  100  100  100  6  100  100
5  100  100  100  9  100  6  100  100  100  8  100  100  100
6  100  100  100  10  6  100  5  100  100  100  100  100  100
7  100  100  100  100  100  5  100  10  100  100  100  100  100
8  100  100  100  100  100  100  10  100  10  100  100  100  100
9  100  100  100  100  100  100  100  10  100  2  100  5  100
10  100  100  100  100  8  100  100  100  2  100  5  100  100
11  100  100  5  6  100  100  100  100  100  5  100  3  2
12  100  100  100  100  100  100  100  100  5  100  3  100  8
13  9  100  100  100  100  100  100  100  100  100  2  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  1  0  0
4  .  .  .  .  0  1  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  1  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  1  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  1
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  1  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  1
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  9  10
2  11  13
3  1  2
4  11  12
5  3  11
6  6  7
7  9  12
8  3  4
9  5  6
10  2  3
11  5  10
12  4  6
;
