param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  10  5  6  8  6  9  5  4  2  4  7  6
2  10  100  2  9  8  8  8  7  4  7  2  10  7
3  5  2  100  10  8  5  9  6  2  6  8  9  4
4  6  9  10  100  4  2  4  9  7  4  8  9  5
5  8  8  8  4  100  2  9  8  3  4  5  6  3
6  6  8  5  2  2  100  7  7  4  4  9  9  5
7  9  8  9  4  9  7  100  2  8  6  5  10  9
8  5  7  6  9  8  7  2  100  7  6  2  6  8
9  4  4  2  7  3  4  8  7  100  8  10  8  4
10  2  7  6  4  4  4  6  6  8  100  4  6  8
11  4  2  8  8  5  9  5  2  10  4  100  6  9
12  7  10  9  9  6  9  10  6  8  6  6  100  6
13  6  7  4  5  3  5  9  8  4  8  9  6  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  9  100  100  100  100  7  100  100  100  100  6  5
2  9  100  8  100  100  100  100  100  100  100  100  100  100
3  100  8  100  5  100  100  100  100  100  5  100  100  100
4  100  100  5  100  8  100  100  100  100  100  100  100  100
5  100  100  100  8  100  2  100  100  100  100  100  100  100
6  100  100  100  100  2  100  8  100  100  100  100  100  100
7  7  100  100  100  100  8  100  5  100  10  100  100  9
8  100  100  100  100  100  100  5  100  6  100  100  100  100
9  100  100  100  100  100  100  100  6  100  2  100  100  100
10  100  100  5  100  100  100  10  100  2  100  10  2  100
11  100  100  100  100  100  100  100  100  100  10  100  6  100
12  6  100  100  100  100  100  100  100  100  2  6  100  8
13  5  100  100  100  100  100  9  100  100  100  100  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  1  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  1  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  1  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  1  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  1  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  5  6
2  9  10
3  10  12
4  1  13
5  3  4
6  3  10
7  7  8
8  1  12
9  8  9
10  11  12
11  2  3
12  4  5
;
