param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  10  5  8  2  5  3  6  9  10  7  10  4
2  10  100  7  10  2  7  3  7  5  9  9  7  6
3  5  7  100  5  5  9  10  6  7  3  5  9  2
4  8  10  5  100  10  9  6  6  4  8  5  3  5
5  2  2  5  10  100  6  3  5  7  9  5  7  7
6  5  7  9  9  6  100  2  7  2  10  9  2  2
7  3  3  10  6  3  2  100  3  9  9  5  9  10
8  6  7  6  6  5  7  3  100  7  9  9  8  3
9  9  5  7  4  7  2  9  7  100  4  3  6  5
10  10  9  3  8  9  10  9  9  4  100  6  6  7
11  7  9  5  5  5  9  5  9  3  6  100  9  5
12  10  7  9  3  7  2  9  8  6  6  9  100  6
13  4  6  2  5  7  2  10  3  5  7  5  6  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  5  100  10  100  2  100  100  100  100  100  100  8
2  5  100  7  100  8  6  100  100  100  100  10  100  100
3  100  7  100  9  100  100  100  100  100  9  100  100  100
4  10  100  9  100  5  100  100  100  100  100  100  100  100
5  100  8  100  5  100  6  6  100  7  100  6  100  100
6  2  6  100  100  6  100  7  100  2  100  8  100  100
7  100  100  100  100  6  7  100  8  100  100  2  100  100
8  100  100  100  100  100  100  8  100  2  100  100  100  6
9  100  100  100  100  7  2  100  2  100  10  100  100  100
10  100  100  9  100  100  100  100  100  10  100  2  100  100
11  100  10  100  100  6  8  2  100  100  2  100  4  100
12  100  100  100  100  100  100  100  100  100  100  4  100  3
13  8  100  100  100  100  100  100  6  100  100  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  0  1  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  1  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  1  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  1  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  1  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  6
2  6  9
3  7  11
4  8  9
5  10  11
6  12  13
7  11  12
8  1  2
9  4  5
10  5  6
11  5  7
12  2  3
;
