param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  5  8  3  3  5  2  3  3  8  4  2  3
2  5  100  2  2  7  10  10  7  3  10  7  6  7
3  8  2  100  9  7  10  9  10  5  6  8  6  5
4  3  2  9  100  5  5  10  7  7  7  3  10  6
5  3  7  7  5  100  9  7  4  5  7  8  5  8
6  5  10  10  5  9  100  10  3  6  9  5  6  3
7  2  10  9  10  7  10  100  9  8  5  6  6  2
8  3  7  10  7  4  3  9  100  10  7  5  9  10
9  3  3  5  7  5  6  8  10  100  8  3  2  7
10  8  10  6  7  7  9  5  7  8  100  7  3  7
11  4  7  8  3  8  5  6  5  3  7  100  10  2
12  2  6  6  10  5  6  6  9  2  3  10  100  2
13  3  7  5  6  8  3  2  10  7  7  2  2  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  8  9  100  100  100  100  100  100  100  100  8  5
2  8  100  5  100  100  100  100  100  100  100  100  10  100
3  9  5  100  4  100  100  100  100  6  100  8  100  100
4  100  100  4  100  2  5  10  100  3  100  9  100  100
5  100  100  100  2  100  2  100  100  100  100  9  4  100
6  100  100  100  5  2  100  10  100  100  5  100  100  100
7  100  100  100  10  100  10  100  5  100  100  100  100  100
8  100  100  100  100  100  100  5  100  7  100  100  100  100
9  100  100  6  3  100  100  100  7  100  10  100  100  7
10  100  100  100  100  100  5  100  100  10  100  9  100  2
11  100  100  8  9  9  100  100  100  100  9  100  9  100
12  8  10  100  100  4  100  100  100  100  100  9  100  3
13  5  100  100  100  100  100  100  100  7  2  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  1  0  0
4  .  .  .  .  1  0  0  0  1  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  1  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  1
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  1  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  1
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  4  5
2  5  6
3  10  13
4  4  9
5  12  13
6  3  4
7  5  12
8  1  13
9  2  3
10  7  8
11  8  9
12  3  11
;
