param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  3  4  4  5  8  4  8  7  5  5  4  9
2  3  100  7  4  5  7  3  3  7  10  6  5  7
3  4  7  100  3  2  7  9  7  10  6  4  8  4
4  4  4  3  100  7  6  5  2  9  2  6  2  4
5  5  5  2  7  100  5  9  6  5  5  9  6  5
6  8  7  7  6  5  100  8  7  4  2  3  9  3
7  4  3  9  5  9  8  100  6  6  8  2  2  4
8  8  3  7  2  6  7  6  100  8  4  10  6  3
9  7  7  10  9  5  4  6  8  100  9  4  3  10
10  5  10  6  2  5  2  8  4  9  100  7  2  3
11  5  6  4  6  9  3  2  10  4  7  100  9  4
12  4  5  8  2  6  9  2  6  3  2  9  100  9
13  9  7  4  4  5  3  4  3  10  3  4  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  8  5  100  100  100  100  100  3  100  100  100  2
2  8  100  2  100  100  6  100  100  100  100  100  100  100
3  5  2  100  4  100  10  100  3  100  100  100  4  100
4  100  100  4  100  2  100  100  100  100  100  100  100  100
5  100  100  100  2  100  9  100  100  3  4  100  8  100
6  100  6  10  100  9  100  10  2  10  100  100  100  100
7  100  100  100  100  100  10  100  7  100  100  100  100  100
8  100  100  3  100  100  2  7  100  2  6  100  100  100
9  3  100  100  100  3  10  100  2  100  10  100  100  9
10  100  100  100  100  4  100  100  6  10  100  10  3  100
11  100  100  100  100  100  100  100  100  100  10  100  6  100
12  100  100  4  100  8  100  100  100  100  3  6  100  7
13  2  100  100  100  100  100  100  100  9  100  100  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  1  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  1  0  0  0  1  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  1  0  0  0  0
6  .  .  .  .  .  .  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  1  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  1  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  13
2  2  3
3  4  5
4  6  8
5  8  9
6  1  9
7  3  8
8  5  9
9  10  12
10  3  12
11  11  12
12  7  8
;
