param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  8  8  3  2  3  8  5  10  9  4  6  9
2  8  100  7  10  7  4  10  3  5  7  2  2  7
3  8  7  100  2  3  10  8  8  7  6  6  3  6
4  3  10  2  100  10  8  9  10  3  7  4  9  6
5  2  7  3  10  100  8  8  5  10  10  3  9  6
6  3  4  10  8  8  100  3  2  9  10  3  9  10
7  8  10  8  9  8  3  100  7  2  6  9  2  6
8  5  3  8  10  5  2  7  100  8  2  3  8  3
9  10  5  7  3  10  9  2  8  100  6  10  7  8
10  9  7  6  7  10  10  6  2  6  100  8  5  6
11  4  2  6  4  3  3  9  3  10  8  100  10  8
12  6  2  3  9  9  9  2  8  7  5  10  100  4
13  9  7  6  6  6  10  6  3  8  6  8  4  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  3  100  100  5  100  100  100  100  100  100  100  4
2  3  100  4  100  100  100  6  100  6  100  100  100  100
3  100  4  100  3  5  100  100  100  100  100  3  100  100
4  100  100  3  100  5  10  100  100  100  100  5  100  100
5  5  100  5  5  100  4  10  100  100  100  3  100  100
6  100  100  100  10  4  100  9  100  3  100  100  100  8
7  100  6  100  100  10  9  100  4  100  7  4  100  100
8  100  100  100  100  100  100  4  100  5  100  100  2  10
9  100  6  100  100  100  3  100  5  100  3  100  100  100
10  100  100  100  100  100  100  7  100  3  100  3  100  100
11  100  100  3  5  3  100  4  100  100  3  100  10  100
12  100  100  100  100  100  100  100  2  100  100  10  100  6
13  4  100  100  100  100  8  100  10  100  100  100  6  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  1  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  1  0  0
6  .  .  .  .  .  .  0  0  1  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  1  0  0
8  .  .  .  .  .  .  .  .  0  0  0  1  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  1  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  1  0  0
6  .  .  .  .  .  .  0  0  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  1  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  8  12
2  1  2
3  3  4
4  3  11
5  5  11
6  6  9
7  9  10
8  10  11
9  1  13
10  2  3
11  7  8
12  7  11
;
