param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  9  3  2  5  6  4  7  5  10  6  7  9
2  9  100  8  5  3  4  3  7  8  4  8  5  8
3  3  8  100  7  10  2  10  4  2  5  3  6  3
4  2  5  7  100  4  2  10  2  9  8  10  9  10
5  5  3  10  4  100  3  8  4  3  5  8  3  6
6  6  4  2  2  3  100  4  10  7  3  5  8  4
7  4  3  10  10  8  4  100  3  8  3  8  6  10
8  7  7  4  2  4  10  3  100  6  6  4  2  2
9  5  8  2  9  3  7  8  6  100  10  4  7  4
10  10  4  5  8  5  3  3  6  10  100  4  5  4
11  6  8  3  10  8  5  8  4  4  4  100  2  4
12  7  5  6  9  3  8  6  2  7  5  2  100  9
13  9  8  3  10  6  4  10  2  4  4  4  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  5  100  100  100  100  100  100  100  10  100  100  10
2  5  100  8  8  8  100  100  2  100  100  100  100  2
3  100  8  100  9  100  6  100  9  2  100  100  100  100
4  100  8  9  100  2  100  100  100  100  100  100  100  100
5  100  8  100  2  100  8  100  100  4  7  3  100  100
6  100  100  6  100  8  100  10  100  100  100  100  100  100
7  100  100  100  100  100  10  100  7  100  100  100  100  3
8  100  2  9  100  100  100  7  100  6  100  4  100  100
9  100  100  2  100  4  100  100  6  100  3  100  100  100
10  10  100  100  100  7  100  100  100  3  100  6  100  100
11  100  100  100  100  3  100  100  4  100  6  100  10  3
12  100  100  100  100  100  100  100  100  100  100  10  100  9
13  10  2  100  100  100  100  3  100  100  100  3  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  1  0  0  0  0  1
3  .  .  .  0  0  1  0  0  1  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  1  0  1  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  1
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  1
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  1  0  0  0  0  1
3  .  .  .  0  0  0  0  0  1  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  1  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  1
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  8
2  2  13
3  3  9
4  4  5
5  5  11
6  7  13
7  9  10
8  11  13
9  5  9
10  1  2
11  3  6
12  12  13
;
