param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  10  3  2  8  9  10  4  10  9  7  3  3
2  10  100  5  5  9  2  7  5  3  9  7  4  4
3  3  5  100  6  8  7  7  9  2  5  7  7  2
4  2  5  6  100  6  2  9  10  9  8  9  6  3
5  8  9  8  6  100  4  4  10  10  6  4  5  9
6  9  2  7  2  4  100  7  6  5  4  3  5  5
7  10  7  7  9  4  7  100  4  2  2  9  10  5
8  4  5  9  10  10  6  4  100  4  6  2  4  2
9  10  3  2  9  10  5  2  4  100  4  3  4  10
10  9  9  5  8  6  4  2  6  4  100  10  2  10
11  7  7  7  9  4  3  9  2  3  10  100  2  8
12  3  4  7  6  5  5  10  4  4  2  2  100  10
13  3  4  2  3  9  5  5  2  10  10  8  10  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  6  100  10  100  100  2  7  100  100  3  100  4
2  6  100  9  100  100  100  10  100  100  100  100  10  6
3  100  9  100  7  100  100  100  100  100  100  100  100  100
4  10  100  7  100  7  5  100  2  100  100  100  100  9
5  100  100  100  7  100  3  100  100  10  100  100  100  100
6  100  100  100  5  3  100  9  100  6  100  100  10  100
7  2  10  100  100  100  9  100  7  100  100  100  100  100
8  7  100  100  2  100  100  7  100  6  100  3  100  5
9  100  100  100  100  10  6  100  6  100  9  100  100  100
10  100  100  100  100  100  100  100  100  9  100  8  6  100
11  3  100  100  100  100  100  100  3  100  8  100  2  3
12  100  10  100  100  100  10  100  100  100  6  2  100  9
13  4  6  100  9  100  100  100  5  100  100  3  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  0  0  1  0  0  0  1  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  1  0  1  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  1  0
11  .  .  .  .  .  .  .  .  .  .  .  1  1
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  1  0  0  0  1  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  1  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  7
2  4  8
3  11  12
4  1  11
5  5  6
6  8  11
7  11  13
8  4  6
9  1  2
10  6  9
11  10  12
12  3  4
;
