param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  4  5  3  4  5  6  4  10  8  2  7  6
2  4  100  10  2  10  3  5  4  3  7  10  4  6
3  5  10  100  5  10  4  8  9  6  7  5  8  8
4  3  2  5  100  10  5  7  9  10  3  10  7  3
5  4  10  10  10  100  4  10  3  7  9  5  3  8
6  5  3  4  5  4  100  2  7  6  9  10  8  6
7  6  5  8  7  10  2  100  7  2  4  4  2  2
8  4  4  9  9  3  7  7  100  6  6  7  5  2
9  10  3  6  10  7  6  2  6  100  3  9  3  6
10  8  7  7  3  9  9  4  6  3  100  3  5  2
11  2  10  5  10  5  10  4  7  9  3  100  2  10
12  7  4  8  7  3  8  2  5  3  5  2  100  8
13  6  6  8  3  8  6  2  2  6  2  10  8  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  9  100  100  100  100  4  100  100  100  100  100  6
2  9  100  4  100  100  100  100  100  100  100  100  100  5
3  100  4  100  3  4  10  100  100  100  100  6  100  100
4  100  100  3  100  8  9  100  100  100  100  6  2  100
5  100  100  4  8  100  5  100  100  100  100  100  6  100
6  100  100  10  9  5  100  4  100  100  100  100  5  100
7  4  100  100  100  100  4  100  7  100  4  100  5  100
8  100  100  100  100  100  100  7  100  8  100  100  4  100
9  100  100  100  100  100  100  100  8  100  3  100  6  100
10  100  100  100  100  100  100  4  100  3  100  7  6  6
11  100  100  6  6  100  100  100  100  100  7  100  8  100
12  100  100  100  2  6  5  5  4  6  6  8  100  3
13  6  5  100  100  100  100  100  100  100  6  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  1  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  1  0  0  0  0  0  1  0  0
4  .  .  .  .  0  0  0  0  0  0  0  1  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  1  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  1  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  1  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  1  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  4  12
2  3  4
3  9  10
4  12  13
5  1  7
6  2  3
7  3  5
8  6  7
9  7  10
10  8  12
11  5  6
12  3  11
;
