param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  6  2  2  7  9  9  6  3  6  4  9  6
2  6  100  7  7  5  8  5  9  9  10  8  6  5
3  2  7  100  4  6  8  4  5  6  2  4  4  8
4  2  7  4  100  6  10  9  10  7  6  8  10  6
5  7  5  6  6  100  7  9  4  5  4  4  7  5
6  9  8  8  10  7  100  8  10  9  10  5  6  5
7  9  5  4  9  9  8  100  5  8  2  7  8  4
8  6  9  5  10  4  10  5  100  7  3  10  10  10
9  3  9  6  7  5  9  8  7  100  7  7  3  6
10  6  10  2  6  4  10  2  3  7  100  7  3  8
11  4  8  4  8  4  5  7  10  7  7  100  3  5
12  9  6  4  10  7  6  8  10  3  3  3  100  3
13  6  5  8  6  5  5  4  10  6  8  5  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  8  100  100  10  8  100  100  100  100  100  100  9
2  8  100  9  8  100  8  9  100  100  100  10  100  4
3  100  9  100  10  100  100  9  100  100  10  100  100  100
4  100  8  10  100  5  100  100  100  8  100  100  100  100
5  10  100  100  5  100  3  100  100  100  100  10  100  100
6  8  8  100  100  3  100  7  100  100  100  10  100  100
7  100  9  9  100  100  7  100  3  100  100  100  100  100
8  100  100  100  100  100  100  3  100  10  100  2  100  100
9  100  100  100  8  100  100  100  10  100  2  100  100  100
10  100  100  10  100  100  100  100  100  2  100  9  6  100
11  100  10  100  100  10  10  100  2  100  9  100  7  100
12  100  100  100  100  100  100  100  100  100  6  7  100  4
13  9  4  100  100  100  100  100  100  100  100  100  4  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  1
3  .  .  .  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  1  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  1
3  .  .  .  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  8  11
2  9  10
3  5  6
4  7  8
5  2  13
6  12  13
7  4  5
8  10  12
9  6  7
10  11  12
11  1  2
12  2  3
;
