param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  8  4  5  5  5  2  10  6  4  9  2  5
2  8  100  3  10  7  5  6  2  7  9  4  4  2
3  4  3  100  7  3  10  8  4  2  8  9  3  9
4  5  10  7  100  5  3  10  10  7  5  2  10  5
5  5  7  3  5  100  5  9  2  9  2  6  8  10
6  5  5  10  3  5  100  9  10  4  8  6  5  4
7  2  6  8  10  9  9  100  6  8  5  2  5  5
8  10  2  4  10  2  10  6  100  8  4  6  6  5
9  6  7  2  7  9  4  8  8  100  3  5  10  9
10  4  9  8  5  2  8  5  4  3  100  4  4  5
11  9  4  9  2  6  6  2  6  5  4  100  9  10
12  2  4  3  10  8  5  5  6  10  4  9  100  6
13  5  2  9  5  10  4  5  5  9  5  10  6  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  5  9  2  100  100  100  100  100  100  5  3  6
2  5  100  6  100  100  100  100  3  100  100  100  100  100
3  9  6  100  10  100  100  2  100  100  100  100  100  100
4  2  100  10  100  4  100  100  100  100  4  100  10  100
5  100  100  100  4  100  5  10  100  100  100  100  3  100
6  100  100  100  100  5  100  8  100  100  100  100  10  100
7  100  100  2  100  10  8  100  3  100  100  5  8  100
8  100  3  100  100  100  100  3  100  9  100  10  9  100
9  100  100  100  100  100  100  100  9  100  5  100  100  100
10  100  100  100  4  100  100  100  100  5  100  7  7  100
11  5  100  100  100  100  100  5  10  100  7  100  9  9
12  3  100  100  10  3  10  8  9  100  7  9  100  8
13  6  100  100  100  100  100  100  100  100  100  9  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  1  0  0  0  0  0  0  1  1  1
2  .  .  0  0  0  0  0  1  0  0  0  0  0
3  .  .  .  0  0  0  1  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  1  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  1  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  1  0  0  0  0  0  0  0  1  0
2  .  .  0  0  0  0  0  1  0  0  0  0  0
3  .  .  .  0  0  0  1  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  1  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  4
2  3  7
3  1  12
4  2  8
5  5  12
6  7  8
7  4  10
8  1  2
9  1  11
10  5  6
11  9  10
12  1  13
;
