param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  2  3  3  9  2  8  6  8  5  2  10  8
2  2  100  7  2  9  4  2  10  4  10  7  3  8
3  3  7  100  5  10  3  10  8  5  5  7  6  4
4  3  2  5  100  5  8  10  6  7  3  9  7  5
5  9  9  10  5  100  5  9  9  10  10  10  10  5
6  2  4  3  8  5  100  7  10  4  9  9  6  9
7  8  2  10  10  9  7  100  2  7  10  9  3  9
8  6  10  8  6  9  10  2  100  6  7  2  2  6
9  8  4  5  7  10  4  7  6  100  3  9  10  4
10  5  10  5  3  10  9  10  7  3  100  7  3  8
11  2  7  7  9  10  9  9  2  9  7  100  7  10
12  10  3  6  7  10  6  3  2  10  3  7  100  7
13  8  8  4  5  5  9  9  6  4  8  10  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  4  100  100  3  100  100  100  7  100  100  100  3
2  4  100  2  100  100  100  100  100  100  100  100  100  8
3  100  2  100  10  100  100  8  100  100  100  100  100  100
4  100  100  10  100  8  100  100  100  100  100  100  100  100
5  3  100  100  8  100  8  100  8  100  100  100  100  100
6  100  100  100  100  8  100  6  100  100  100  100  100  100
7  100  100  8  100  100  6  100  6  100  100  100  3  100
8  100  100  100  100  8  100  6  100  4  5  100  100  100
9  7  100  100  100  100  100  100  4  100  8  100  100  100
10  100  100  100  100  100  100  100  5  8  100  10  100  100
11  100  100  100  100  100  100  100  100  100  10  100  6  100
12  100  100  100  100  100  100  3  100  100  100  6  100  9
13  3  8  100  100  100  100  100  100  100  100  100  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  1  0  0  0  1  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  1  0
8  .  .  .  .  .  .  .  .  1  1  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  1  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  1  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  3
2  1  5
3  1  13
4  7  12
5  1  2
6  8  9
7  8  10
8  6  7
9  7  8
10  11  12
11  1  9
12  4  5
;
