param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  7  7  8  2  10  2  4  3  7  8  9  2  9  7
2  7  100  3  3  5  8  7  2  4  9  5  3  3  10  2
3  7  3  100  3  2  2  2  7  3  5  8  9  6  6  10
4  8  3  3  100  8  5  8  4  10  2  8  6  4  2  4
5  2  5  2  8  100  10  10  7  9  3  6  4  5  6  8
6  10  8  2  5  10  100  9  2  4  10  5  4  4  7  2
7  2  7  2  8  10  9  100  6  10  2  3  7  8  3  3
8  4  2  7  4  7  2  6  100  7  10  10  9  8  10  9
9  3  4  3  10  9  4  10  7  100  5  9  8  6  6  9
10  7  9  5  2  3  10  2  10  5  100  4  6  4  4  7
11  8  5  8  8  6  5  3  10  9  4  100  6  7  8  4
12  9  3  9  6  4  4  7  9  8  6  6  100  3  3  8
13  2  3  6  4  5  4  8  8  6  4  7  3  100  2  10
14  9  10  6  2  6  7  3  10  6  4  8  3  2  100  2
15  7  2  10  4  8  2  3  9  9  7  4  8  10  2  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  5  100  100  100  100  100  100  100  100  7  100  100  100  7
2  5  100  6  100  100  100  100  100  100  100  100  100  10  100  100
3  100  6  100  8  100  100  100  100  10  10  100  100  100  100  100
4  100  100  8  100  4  100  100  100  100  100  100  100  100  100  6
5  100  100  100  4  100  9  100  100  100  4  100  100  100  100  4
6  100  100  100  100  9  100  9  5  100  100  3  100  100  100  100
7  100  100  100  100  100  9  100  6  100  5  100  100  9  100  100
8  100  100  100  100  100  5  6  100  8  3  100  100  100  100  4
9  100  100  10  100  100  100  100  8  100  3  100  10  100  100  100
10  100  100  10  100  4  100  5  3  3  100  2  100  100  6  100
11  7  100  100  100  100  3  100  100  100  2  100  2  10  4  100
12  100  100  100  100  100  100  100  100  10  100  2  100  6  100  2
13  100  10  100  100  100  100  9  100  100  100  10  6  100  3  8
14  100  100  100  100  100  100  100  100  100  6  4  100  3  100  10
15  7  100  100  6  4  100  100  4  100  100  100  2  8  10  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  0  0  0  0  0  1  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  1  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  1  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  10  11
2  11  12
3  12  15
4  6  11
5  8  10
6  9  10
7  13  14
8  4  5
9  5  10
10  11  14
11  1  2
12  7  10
13  2  3
14  1  11
;
