param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  7  10  4  2  10  9  4  8  4  8  3  7  8  9
2  7  100  10  7  3  8  4  9  8  8  10  4  8  2  5
3  10  10  100  5  10  3  3  2  6  2  5  2  3  8  8
4  4  7  5  100  6  8  3  6  6  8  2  10  8  4  8
5  2  3  10  6  100  2  3  9  10  4  5  2  6  3  5
6  10  8  3  8  2  100  3  8  10  4  6  5  7  4  3
7  9  4  3  3  3  3  100  10  9  10  3  8  8  5  4
8  4  9  2  6  9  8  10  100  8  2  10  3  8  5  4
9  8  8  6  6  10  10  9  8  100  9  4  5  8  9  5
10  4  8  2  8  4  4  10  2  9  100  8  10  4  4  4
11  8  10  5  2  5  6  3  10  4  8  100  8  5  5  5
12  3  4  2  10  2  5  8  3  5  10  8  100  9  3  9
13  7  8  3  8  6  7  8  8  8  4  5  9  100  3  10
14  8  2  8  4  3  4  5  5  9  4  5  3  3  100  4
15  9  5  8  8  5  3  4  4  5  4  5  9  10  4  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  5  100  100  100  100  100  100  100  100  100  100  100  100  7
2  5  100  9  100  100  9  100  100  100  100  100  100  100  100  100
3  100  9  100  3  100  6  100  100  7  100  100  100  100  100  100
4  100  100  3  100  7  3  100  9  100  100  100  100  8  100  6
5  100  100  100  7  100  8  100  100  7  8  8  4  2  100  100
6  100  9  6  3  8  100  3  100  100  100  3  100  100  100  100
7  100  100  100  100  100  3  100  2  100  5  100  100  100  100  100
8  100  100  100  9  100  100  2  100  6  100  100  100  100  100  100
9  100  100  7  100  7  100  100  6  100  5  100  100  100  6  4
10  100  100  100  100  8  100  5  100  5  100  9  100  100  10  100
11  100  100  100  100  8  3  100  100  100  9  100  5  100  100  3
12  100  100  100  100  4  100  100  100  100  100  5  100  6  100  100
13  100  100  100  8  2  100  100  100  100  100  100  6  100  3  7
14  100  100  100  100  100  100  100  100  6  10  100  100  3  100  4
15  7  100  100  6  100  100  100  100  4  100  3  100  7  4  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  1  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  1  1  0  0
6  .  .  .  .  .  .  1  0  0  0  1  0  0  0  0
7  .  .  .  .  .  .  .  1  0  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  1
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  1
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  1  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  1  0  0
6  .  .  .  .  .  .  1  0  0  0  1  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  1
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  5  13
2  7  8
3  3  4
4  4  6
5  6  7
6  6  11
7  11  15
8  13  14
9  5  12
10  9  15
11  14  15
12  1  2
13  7  10
14  1  15
;
