param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  4  9  9  2  7  2  7  8  3  5  8  9  4  8
2  4  100  9  10  3  10  10  7  8  10  9  5  7  2  8
3  9  9  100  10  6  3  3  2  9  2  3  2  3  5  4
4  9  10  10  100  4  7  9  8  7  6  7  9  9  7  5
5  2  3  6  4  100  8  10  6  5  3  2  5  3  10  5
6  7  10  3  7  8  100  5  5  10  9  2  9  7  5  10
7  2  10  3  9  10  5  100  7  5  5  2  9  10  7  9
8  7  7  2  8  6  5  7  100  2  4  4  6  9  2  7
9  8  8  9  7  5  10  5  2  100  2  10  7  10  2  2
10  3  10  2  6  3  9  5  4  2  100  6  3  7  2  7
11  5  9  3  7  2  2  2  4  10  6  100  4  4  7  7
12  8  5  2  9  5  9  9  6  7  3  4  100  6  3  2
13  9  7  3  9  3  7  10  9  10  7  4  6  100  4  6
14  4  2  5  7  10  5  7  2  2  2  7  3  4  100  4
15  8  8  4  5  5  10  9  7  2  7  7  2  6  4  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  8  100  100  100  5  100  100  100  100  100  100  100  100  5
2  8  100  3  100  100  100  100  100  100  3  100  100  100  100  100
3  100  3  100  5  8  100  5  100  100  2  100  100  100  100  100
4  100  100  5  100  4  100  100  100  100  100  100  100  100  100  4
5  100  100  8  4  100  3  100  100  8  100  100  100  100  100  100
6  5  100  100  100  3  100  9  100  100  100  100  100  2  100  100
7  100  100  5  100  100  9  100  7  100  100  100  100  100  100  100
8  100  100  100  100  100  100  7  100  2  100  100  100  8  100  100
9  100  100  100  100  8  100  100  2  100  4  100  100  100  100  100
10  100  3  2  100  100  100  100  100  4  100  7  5  100  3  100
11  100  100  100  100  100  100  100  100  100  7  100  8  100  4  7
12  100  100  100  100  100  100  100  100  100  5  8  100  5  100  5
13  100  100  100  100  100  2  100  8  100  100  100  5  100  5  100
14  100  100  100  100  100  100  100  100  100  3  4  100  5  100  3
15  5  100  100  4  100  100  100  100  100  100  7  5  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  1  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  1  0  0  1  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  1
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  1  0  1  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  1  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  1  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  3  10
2  6  13
3  8  9
4  2  3
5  5  6
6  10  14
7  14  15
8  4  5
9  4  15
10  9  10
11  11  14
12  1  6
13  3  7
14  10  12
;
