param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  10  5  6  7  5  5  7  2  2  8  10  8  5  3
2  10  100  3  4  2  5  8  4  4  8  3  7  2  2  10
3  5  3  100  3  4  9  10  3  10  4  4  10  3  10  3
4  6  4  3  100  7  3  10  3  6  2  9  8  5  2  3
5  7  2  4  7  100  3  8  9  7  9  2  8  6  9  6
6  5  5  9  3  3  100  7  3  10  6  9  7  9  4  10
7  5  8  10  10  8  7  100  4  5  8  6  9  4  7  5
8  7  4  3  3  9  3  4  100  5  10  7  6  7  7  7
9  2  4  10  6  7  10  5  5  100  3  5  2  3  7  10
10  2  8  4  2  9  6  8  10  3  100  8  10  2  10  4
11  8  3  4  9  2  9  6  7  5  8  100  9  3  10  3
12  10  7  10  8  8  7  9  6  2  10  9  100  10  2  10
13  8  2  3  5  6  9  4  7  3  2  3  10  100  2  9
14  5  2  10  2  9  4  7  7  7  10  10  2  2  100  7
15  3  10  3  3  6  10  5  7  10  4  3  10  9  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  10  100  100  100  100  100  100  100  3  9  100  100  9  4
2  10  100  6  6  100  100  100  100  8  100  5  100  100  10  100
3  100  6  100  9  100  100  5  100  100  100  100  100  100  100  100
4  100  6  9  100  4  3  100  100  100  100  10  100  4  100  3
5  100  100  100  4  100  6  100  100  100  100  100  100  100  100  10
6  100  100  100  3  6  100  10  100  100  100  100  100  2  100  100
7  100  100  5  100  100  10  100  6  100  100  100  100  100  100  2
8  100  100  100  100  100  100  6  100  7  4  100  100  100  100  100
9  100  8  100  100  100  100  100  7  100  4  100  5  100  100  100
10  3  100  100  100  100  100  100  4  4  100  9  100  100  100  100
11  9  5  100  10  100  100  100  100  100  9  100  7  100  100  100
12  100  100  100  100  100  100  100  100  5  100  7  100  8  100  100
13  100  100  100  4  100  2  100  100  100  100  100  8  100  2  100
14  9  10  100  100  100  100  100  100  100  100  100  100  2  100  3
15  4  100  100  3  10  100  2  100  100  100  100  100  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  0  1  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  1  0  0  0  0
3  .  .  .  0  0  0  1  0  0  0  0  0  0  0  0
4  .  .  .  .  1  1  0  0  0  0  0  0  0  0  1
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  1
8  .  .  .  .  .  .  .  .  0  1  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  0  1  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  1  0  0  0  0  0  0  0  0  1
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  1
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  6  13
2  7  15
3  13  14
4  1  10
5  4  6
6  4  15
7  1  15
8  4  5
9  8  10
10  9  10
11  2  11
12  3  7
13  9  12
14  2  3
;
