param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  6  6  8  7  8  2  8  9  7  8  8  9  9  6
2  6  100  4  8  3  2  6  5  2  9  9  3  4  4  9
3  6  4  100  4  4  6  7  9  9  7  3  3  7  7  6
4  8  8  4  100  2  6  2  4  10  8  6  2  4  3  4
5  7  3  4  2  100  4  2  2  5  9  3  6  10  6  7
6  8  2  6  6  4  100  7  4  6  4  2  10  6  9  8
7  2  6  7  2  2  7  100  3  6  6  5  8  7  4  8
8  8  5  9  4  2  4  3  100  3  10  10  7  6  3  5
9  9  2  9  10  5  6  6  3  100  2  8  10  6  8  5
10  7  9  7  8  9  4  6  10  2  100  3  7  6  5  2
11  8  9  3  6  3  2  5  10  8  3  100  3  7  10  9
12  8  3  3  2  6  10  8  7  10  7  3  100  3  10  6
13  9  4  7  4  10  6  7  6  6  6  7  3  100  7  3
14  9  4  7  3  6  9  4  3  8  5  10  10  7  100  10
15  6  9  6  4  7  8  8  5  5  2  9  6  3  10  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  3  100  100  100  100  100  100  9  100  10  100  100  100  7
2  3  100  4  100  100  9  100  100  100  100  100  100  100  100  100
3  100  4  100  8  100  6  100  100  100  4  100  100  100  10  10
4  100  100  8  100  5  100  100  100  100  100  100  100  3  100  10
5  100  100  100  5  100  9  9  100  100  100  100  100  100  100  100
6  100  9  6  100  9  100  5  100  100  100  100  100  100  100  6
7  100  100  100  100  9  5  100  10  5  100  100  6  100  100  100
8  100  100  100  100  100  100  10  100  4  100  100  10  100  100  100
9  9  100  100  100  100  100  5  4  100  5  100  100  100  100  100
10  100  100  4  100  100  100  100  100  5  100  5  100  100  3  100
11  10  100  100  100  100  100  100  100  100  5  100  2  100  9  100
12  100  100  100  100  100  100  6  10  100  100  2  100  6  100  100
13  100  100  100  3  100  100  100  100  100  100  100  6  100  10  100
14  100  100  10  100  100  100  100  100  100  3  9  100  10  100  8
15  7  100  10  10  100  6  100  100  100  100  100  100  100  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  1  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  1  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  1
7  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  1  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  1  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  1  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  1  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  11  12
2  1  2
3  4  13
4  10  14
5  2  3
6  3  10
7  8  9
8  4  5
9  6  7
10  7  9
11  9  10
12  10  11
13  6  15
14  12  13
;
