param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  8  8  5  7  8  5  3  6  10  7  4  8  2  8
2  8  100  4  9  5  8  7  9  6  4  9  7  10  10  6
3  8  4  100  5  2  4  9  7  7  6  8  5  8  6  8
4  5  9  5  100  6  10  4  3  3  7  7  8  4  4  9
5  7  5  2  6  100  4  2  3  7  6  5  4  9  2  5
6  8  8  4  10  4  100  2  3  8  7  5  9  2  3  5
7  5  7  9  4  2  2  100  3  3  3  8  3  7  7  5
8  3  9  7  3  3  3  3  100  4  4  8  8  10  4  10
9  6  6  7  3  7  8  3  4  100  8  6  7  4  5  6
10  10  4  6  7  6  7  3  4  8  100  9  6  10  3  2
11  7  9  8  7  5  5  8  8  6  9  100  9  10  7  5
12  4  7  5  8  4  9  3  8  7  6  9  100  4  5  5
13  8  10  8  4  9  2  7  10  4  10  10  4  100  4  5
14  2  10  6  4  2  3  7  4  5  3  7  5  4  100  9
15  8  6  8  9  5  5  5  10  6  2  5  5  5  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  10  100  100  8  100  100  100  100  100  100  100  10  100  8
2  10  100  6  100  2  9  100  9  5  100  100  100  3  100  100
3  100  6  100  6  100  10  100  100  100  100  100  100  100  9  4
4  100  100  6  100  10  100  100  100  100  100  100  100  100  4  2
5  8  2  100  10  100  5  100  10  100  5  6  100  100  100  100
6  100  9  10  100  5  100  2  100  6  100  100  100  100  100  9
7  100  100  100  100  100  2  100  3  2  100  100  100  9  100  100
8  100  9  100  100  10  100  3  100  5  100  100  100  100  100  100
9  100  5  100  100  100  6  2  5  100  7  100  100  100  100  100
10  100  100  100  100  5  100  100  100  7  100  7  100  100  100  100
11  100  100  100  100  6  100  100  100  100  7  100  7  8  100  100
12  100  100  100  100  100  100  100  100  100  100  7  100  4  100  9
13  10  3  100  100  100  100  9  100  100  100  8  4  100  7  100
14  100  100  9  4  100  100  100  100  100  100  100  100  7  100  7
15  8  100  4  2  100  9  100  100  100  100  100  9  100  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  1  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  1  0  0  0  1  0  0  0  1  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  1
4  .  .  .  .  0  0  0  0  0  0  0  0  0  1  1
5  .  .  .  .  .  0  0  0  0  1  1  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  1  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  1  0  0  0  0  0  0  0  1  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  1
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  1
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  1  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  5
2  4  15
3  6  7
4  7  9
5  2  13
6  7  8
7  3  15
8  4  14
9  12  13
10  2  9
11  5  10
12  2  3
13  5  11
14  1  5
;
