param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  2  9  8  3  3  5  6  4  7  8  8  4  4  2
2  2  100  10  5  2  3  7  7  10  9  9  5  7  6  6
3  9  10  100  9  5  4  4  8  9  3  10  2  7  10  10
4  8  5  9  100  9  10  3  3  7  7  9  8  9  5  8
5  3  2  5  9  100  6  5  3  9  8  6  5  5  9  7
6  3  3  4  10  6  100  9  3  10  5  4  2  7  9  7
7  5  7  4  3  5  9  100  2  3  5  2  10  10  7  2
8  6  7  8  3  3  3  2  100  4  10  5  5  9  2  8
9  4  10  9  7  9  10  3  4  100  4  3  2  10  9  7
10  7  9  3  7  8  5  5  10  4  100  8  10  7  10  6
11  8  9  10  9  6  4  2  5  3  8  100  6  5  10  3
12  8  5  2  8  5  2  10  5  2  10  6  100  2  7  2
13  4  7  7  9  5  7  10  9  10  7  5  2  100  6  2
14  4  6  10  5  9  9  7  2  9  10  10  7  6  100  2
15  2  6  10  8  7  7  2  8  7  6  3  2  2  2  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  5  9  100  5  6  100  2  100  100  100  100  100  100  3
2  5  100  8  100  100  100  100  100  100  100  100  9  100  3  100
3  9  8  100  3  100  100  100  100  100  5  7  100  100  100  100
4  100  100  3  100  8  100  100  100  100  100  100  10  100  100  100
5  5  100  100  8  100  6  100  100  100  100  100  100  100  100  100
6  6  100  100  100  6  100  10  7  100  100  100  100  3  100  10
7  100  100  100  100  100  10  100  4  100  100  100  100  100  100  100
8  2  100  100  100  100  7  4  100  5  100  100  100  100  100  100
9  100  100  100  100  100  100  100  5  100  9  100  4  100  100  100
10  100  100  5  100  100  100  100  100  9  100  8  100  100  6  100
11  100  100  7  100  100  100  100  100  100  8  100  8  5  100  5
12  100  9  100  10  100  100  100  100  4  100  8  100  3  100  100
13  100  100  100  100  100  3  100  100  100  100  5  3  100  6  100
14  100  3  100  100  100  100  100  100  100  6  100  100  6  100  2
15  3  100  100  100  100  10  100  100  100  100  5  100  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  1  0  0  1  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  1  0
3  .  .  .  1  0  0  0  0  0  1  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  1  0
11  .  .  .  .  .  .  .  .  .  .  .  0  1  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  1  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  1  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  8
2  14  15
3  1  15
4  2  14
5  3  4
6  6  13
7  12  13
8  7  8
9  9  12
10  1  5
11  3  10
12  8  9
13  11  13
14  10  14
;
