param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  7  5  6  2  10  10  5  4  4  3  10  10  8  7
2  7  100  4  6  9  3  5  4  2  6  7  8  5  7  3
3  5  4  100  5  2  10  5  9  8  5  5  2  7  9  7
4  6  6  5  100  10  8  7  10  10  8  4  6  5  4  6
5  2  9  2  10  100  3  2  3  6  8  6  9  5  5  3
6  10  3  10  8  3  100  6  4  10  8  8  9  4  4  8
7  10  5  5  7  2  6  100  9  10  7  9  3  8  10  4
8  5  4  9  10  3  4  9  100  3  7  10  10  7  2  3
9  4  2  8  10  6  10  10  3  100  9  3  8  7  7  10
10  4  6  5  8  8  8  7  7  9  100  3  10  5  6  3
11  3  7  5  4  6  8  9  10  3  3  100  2  3  5  7
12  10  8  2  6  9  9  3  10  8  10  2  100  2  2  8
13  10  5  7  5  5  4  8  7  7  5  3  2  100  2  7
14  8  7  9  4  5  4  10  2  7  6  5  2  2  100  2
15  7  3  7  6  3  8  4  3  10  3  7  8  7  2  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  7  100  100  10  100  100  100  100  3  100  100  100  100  4
2  7  100  10  100  3  100  100  100  100  100  100  100  100  100  100
3  100  10  100  10  5  100  100  100  100  100  100  100  100  100  8
4  100  100  10  100  10  100  100  100  100  100  100  100  100  100  3
5  10  3  5  10  100  4  100  100  100  100  100  6  7  100  10
6  100  100  100  100  4  100  3  100  100  5  100  100  100  100  100
7  100  100  100  100  100  3  100  6  100  100  100  100  2  100  100
8  100  100  100  100  100  100  6  100  7  100  100  4  3  10  10
9  100  100  100  100  100  100  100  7  100  2  100  100  100  100  100
10  3  100  100  100  100  5  100  100  2  100  8  100  100  100  100
11  100  100  100  100  100  100  100  100  100  8  100  10  100  100  100
12  100  100  100  100  6  100  100  4  100  100  10  100  9  100  2
13  100  100  100  100  7  100  2  3  100  100  100  9  100  3  100
14  100  100  100  100  100  100  100  10  100  100  100  100  3  100  7
15  4  100  8  3  10  100  100  10  100  100  100  2  100  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  0  1  0  0  0  0  1
2  .  .  0  0  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  1  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  1
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  1  0  0
8  .  .  .  .  .  .  .  .  0  0  0  1  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  0  1  0  0  0  0  0
2  .  .  0  0  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  1
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  1  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  7  13
2  9  10
3  12  15
4  1  10
5  2  5
6  4  15
7  6  7
8  8  13
9  13  14
10  1  15
11  5  6
12  8  12
13  3  5
14  10  11
;
