param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  9  9  10  8  5  4  8  7  5  2  2  5  9  3
2  9  100  10  2  4  2  7  5  7  9  6  2  5  8  2
3  9  10  100  5  5  7  3  6  3  4  7  8  4  4  5
4  10  2  5  100  3  7  9  2  6  8  5  2  7  2  10
5  8  4  5  3  100  9  8  9  7  3  7  9  6  5  6
6  5  2  7  7  9  100  7  3  7  2  6  9  2  9  9
7  4  7  3  9  8  7  100  2  7  8  4  9  7  8  10
8  8  5  6  2  9  3  2  100  10  10  10  8  4  2  4
9  7  7  3  6  7  7  7  10  100  10  4  9  7  10  6
10  5  9  4  8  3  2  8  10  10  100  9  9  7  8  7
11  2  6  7  5  7  6  4  10  4  9  100  4  2  2  8
12  2  2  8  2  9  9  9  8  9  9  4  100  7  5  10
13  5  5  4  7  6  2  7  4  7  7  2  7  100  10  9
14  9  8  4  2  5  9  8  2  10  8  2  5  10  100  3
15  3  2  5  10  6  9  10  4  6  7  8  10  9  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  10  100  100  100  100  100  100  4  100  100  100  2  100  5
2  10  100  8  100  5  100  100  100  100  100  100  100  100  100  100
3  100  8  100  7  100  100  100  100  4  7  100  100  100  100  100
4  100  100  7  100  2  100  100  100  100  100  9  8  100  100  100
5  100  5  100  2  100  7  100  100  100  8  100  100  10  100  5
6  100  100  100  100  7  100  5  5  3  3  100  100  100  100  100
7  100  100  100  100  100  5  100  4  100  100  100  100  100  100  4
8  100  100  100  100  100  5  4  100  10  100  100  100  100  100  100
9  4  100  4  100  100  3  100  10  100  6  100  100  100  100  100
10  100  100  7  100  8  3  100  100  6  100  9  100  7  100  100
11  100  100  100  9  100  100  100  100  100  9  100  6  100  100  100
12  100  100  100  8  100  100  100  100  100  100  6  100  7  100  100
13  2  100  100  100  10  100  100  100  100  7  100  7  100  5  100
14  100  100  100  100  100  100  100  100  100  100  100  100  5  100  2
15  5  100  100  100  5  100  4  100  100  100  100  100  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  1  0  0  0  1  0  1
2  .  .  0  0  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  1
6  .  .  .  .  .  .  0  0  1  1  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  1
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  1  0  0  0  1  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  1  1  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  13
2  4  5
3  14  15
4  6  9
5  6  10
6  1  9
7  3  9
8  7  8
9  7  15
10  1  15
11  2  5
12  5  15
13  11  12
14  12  13
;
