param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  3  6  7  5  10  8  9  7  8  4  9  4  7  5
2  3  100  3  9  3  8  8  5  3  3  6  2  8  9  6
3  6  3  100  7  7  3  4  8  3  9  4  3  3  4  10
4  7  9  7  100  6  3  4  9  5  5  6  7  9  2  3
5  5  3  7  6  100  7  7  7  7  10  2  3  9  8  3
6  10  8  3  3  7  100  3  3  10  3  6  9  6  5  7
7  8  8  4  4  7  3  100  5  9  2  8  3  2  7  6
8  9  5  8  9  7  3  5  100  3  2  10  3  9  7  2
9  7  3  3  5  7  10  9  3  100  6  6  10  2  7  4
10  8  3  9  5  10  3  2  2  6  100  8  6  10  2  3
11  4  6  4  6  2  6  8  10  6  8  100  10  4  7  2
12  9  2  3  7  3  9  3  3  10  6  10  100  9  9  8
13  4  8  3  9  9  6  2  9  2  10  4  9  100  9  5
14  7  9  4  2  8  5  7  7  7  2  7  9  9  100  3
15  5  6  10  3  3  7  6  2  4  3  2  8  5  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  7  100  100  100  100  100  100  8  100  100  100  100  100  3
2  7  100  8  100  3  8  100  100  100  100  100  100  100  100  4
3  100  8  100  3  100  100  100  100  100  100  9  10  7  100  100
4  100  100  3  100  4  100  100  100  100  7  100  100  100  100  100
5  100  3  100  4  100  3  100  100  100  3  100  100  2  100  100
6  100  8  100  100  3  100  4  5  100  100  100  100  8  100  100
7  100  100  100  100  100  4  100  6  6  100  100  100  100  100  100
8  100  100  100  100  100  5  6  100  10  100  100  100  100  100  100
9  8  100  100  100  100  100  6  10  100  8  3  100  100  100  100
10  100  100  100  7  3  100  100  100  8  100  6  3  100  100  100
11  100  100  9  100  100  100  100  100  3  6  100  10  100  100  100
12  100  100  10  100  100  100  100  100  100  3  10  100  9  100  10
13  100  100  7  100  2  8  100  100  100  100  100  9  100  8  100
14  100  100  100  100  100  100  100  100  100  100  100  100  8  100  4
15  3  4  100  100  100  100  100  100  100  100  100  10  100  4  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  1  0  0  0  0  0  0  0  0  0  1
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  1  0  0  1  0  0
6  .  .  .  .  .  .  1  1  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  1  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  1  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  1  0  0  1  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  1  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  5  13
2  1  15
3  2  5
4  3  4
5  5  6
6  5  10
7  9  11
8  10  12
9  2  15
10  4  5
11  6  7
12  14  15
13  6  8
14  7  9
;
