param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  9  5  5  4  10  8  8  4  4  8  9  10  10  10
2  9  100  3  9  9  6  4  6  2  9  4  3  7  4  4
3  5  3  100  5  4  8  4  7  9  4  5  8  2  7  2
4  5  9  5  100  2  6  5  10  5  4  5  9  9  10  3
5  4  9  4  2  100  2  10  5  9  6  3  9  4  7  4
6  10  6  8  6  2  100  8  8  3  10  5  5  8  2  9
7  8  4  4  5  10  8  100  8  6  10  3  9  6  9  6
8  8  6  7  10  5  8  8  100  7  4  7  4  9  5  8
9  4  2  9  5  9  3  6  7  100  3  3  2  7  5  6
10  4  9  4  4  6  10  10  4  3  100  3  9  7  9  8
11  8  4  5  5  3  5  3  7  3  3  100  9  4  4  5
12  9  3  8  9  9  5  9  4  2  9  9  100  10  6  9
13  10  7  2  9  4  8  6  9  7  7  4  10  100  5  5
14  10  4  7  10  7  2  9  5  5  9  4  6  5  100  5
15  10  4  2  3  4  9  6  8  6  8  5  9  5  5  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  4  100  7  100  100  100  100  100  100  100  100  100  7  4
2  4  100  8  100  100  100  100  100  100  5  5  8  8  100  100
3  100  8  100  7  100  100  100  100  100  100  8  100  100  100  6
4  7  100  7  100  4  100  100  100  100  2  100  100  100  100  100
5  100  100  100  4  100  2  100  100  100  100  100  100  10  4  10
6  100  100  100  100  2  100  6  100  100  100  100  100  100  100  100
7  100  100  100  100  100  6  100  9  100  100  100  100  100  100  100
8  100  100  100  100  100  100  9  100  4  100  100  100  10  100  100
9  100  100  100  100  100  100  100  4  100  4  100  100  100  100  9
10  100  5  100  2  100  100  100  100  4  100  7  100  100  100  100
11  100  5  8  100  100  100  100  100  100  7  100  2  100  2  100
12  100  8  100  100  100  100  100  100  100  100  2  100  7  100  100
13  100  8  100  100  10  100  100  10  100  100  100  7  100  4  100
14  7  100  100  100  4  100  100  100  100  100  2  100  4  100  5
15  4  100  6  100  10  100  100  100  9  100  100  100  100  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  1  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  1
4  .  .  .  .  1  0  0  0  0  1  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  1  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  1  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  4  10
2  5  6
3  11  12
4  11  14
5  1  2
6  1  15
7  4  5
8  5  14
9  8  9
10  9  10
11  13  14
12  2  10
13  3  15
14  6  7
;
