param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  8  6  10  8  10  6  8  5  6  4  8  4  9  8
2  8  100  8  4  6  3  7  6  10  5  6  8  8  6  4
3  6  8  100  8  9  8  3  10  2  8  2  7  9  3  5
4  10  4  8  100  3  10  2  8  9  3  2  2  6  4  7
5  8  6  9  3  100  7  8  7  6  10  7  4  7  9  9
6  10  3  8  10  7  100  10  5  2  5  3  8  4  10  8
7  6  7  3  2  8  10  100  9  10  4  5  8  2  4  7
8  8  6  10  8  7  5  9  100  9  10  4  3  5  7  5
9  5  10  2  9  6  2  10  9  100  4  6  7  6  10  3
10  6  5  8  3  10  5  4  10  4  100  5  7  9  5  10
11  4  6  2  2  7  3  5  4  6  5  100  10  7  9  7
12  8  8  7  2  4  8  8  3  7  7  10  100  4  10  7
13  4  8  9  6  7  4  2  5  6  9  7  4  100  5  9
14  9  6  3  4  9  10  4  7  10  5  9  10  5  100  8
15  8  4  5  7  9  8  7  5  3  10  7  7  9  8  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  5  100  100  2  9  100  100  100  6  100  100  10  100  5
2  5  100  8  100  100  100  100  100  100  9  6  100  100  100  100
3  100  8  100  4  100  100  100  100  100  100  100  100  100  100  100
4  100  100  4  100  5  100  2  100  7  3  100  4  3  100  100
5  2  100  100  5  100  4  100  100  100  100  100  100  100  100  2
6  9  100  100  100  4  100  6  100  100  9  100  5  100  100  100
7  100  100  100  2  100  6  100  3  100  100  100  100  8  100  100
8  100  100  100  100  100  100  3  100  5  100  100  100  4  100  100
9  100  100  100  7  100  100  100  5  100  4  100  100  8  100  100
10  6  9  100  3  100  9  100  100  4  100  10  100  100  100  100
11  100  6  100  100  100  100  100  100  100  10  100  6  100  2  100
12  100  100  100  4  100  5  100  100  100  100  6  100  3  100  100
13  10  100  100  3  100  100  8  4  8  100  100  3  100  3  100
14  100  100  100  100  100  100  100  100  100  100  2  100  3  100  2
15  5  100  100  100  2  100  100  100  100  100  100  100  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  1  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  1  0  0  1  0  0  1  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  1
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  1  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  1  0  0  1  0  0  1  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  1
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  5
2  4  7
3  5  15
4  11  14
5  14  15
6  4  10
7  4  13
8  7  8
9  12  13
10  13  14
11  3  4
12  5  6
13  9  10
14  1  2
;
