param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  10  8  4  3  2  4  2  5  2  4  2  3  6  6
2  10  100  2  5  7  9  7  3  10  10  3  4  9  5  3
3  8  2  100  4  3  5  5  3  4  10  9  5  9  4  9
4  4  5  4  100  4  7  9  3  8  7  5  3  9  3  6
5  3  7  3  4  100  4  3  6  8  3  9  5  5  9  10
6  2  9  5  7  4  100  7  10  2  3  2  7  8  2  8
7  4  7  5  9  3  7  100  6  3  6  6  7  8  2  4
8  2  3  3  3  6  10  6  100  3  4  5  9  2  9  6
9  5  10  4  8  8  2  3  3  100  9  3  8  6  3  7
10  2  10  10  7  3  3  6  4  9  100  2  7  2  4  5
11  4  3  9  5  9  2  6  5  3  2  100  3  2  6  9
12  2  4  5  3  5  7  7  9  8  7  3  100  5  9  8
13  3  9  9  9  5  8  8  2  6  2  2  5  100  9  10
14  6  5  4  3  9  2  2  9  3  4  6  9  9  100  9
15  6  3  9  6  10  8  4  6  7  5  9  8  10  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  3  100  100  100  100  100  100  100  4  100  100  100  100  6
2  3  100  7  100  100  100  100  100  100  2  100  100  100  100  6
3  100  7  100  9  2  100  100  100  3  100  100  100  100  100  100
4  100  100  9  100  4  100  100  100  100  100  100  100  100  100  100
5  100  100  2  4  100  2  100  100  100  100  100  100  8  6  100
6  100  100  100  100  2  100  7  7  100  100  100  100  100  100  100
7  100  100  100  100  100  7  100  8  100  100  2  4  100  100  100
8  100  100  100  100  100  7  8  100  3  100  100  100  100  100  9
9  100  100  3  100  100  100  100  3  100  3  100  3  100  100  100
10  4  2  100  100  100  100  100  100  3  100  6  100  100  9  100
11  100  100  100  100  100  100  2  100  100  6  100  2  100  100  100
12  100  100  100  100  100  100  4  100  3  100  2  100  8  4  100
13  100  100  100  100  8  100  100  100  100  100  100  8  100  10  100
14  100  100  100  100  6  100  100  100  100  9  100  4  10  100  5
15  6  6  100  100  100  100  100  9  100  100  100  100  100  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  1  0  0  0  0  0
3  .  .  .  0  1  0  0  0  1  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  1  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  1  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  1  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  1  0  0  0  0  0
3  .  .  .  0  1  0  0  0  1  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  1  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  10
2  3  5
3  5  6
4  7  11
5  11  12
6  1  2
7  3  9
8  8  9
9  9  10
10  9  12
11  4  5
12  12  14
13  14  15
14  5  13
;
