param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  7  10  10  5  2  9  3  6  6  9  3  9  2  4
2  7  100  10  10  7  3  8  10  8  3  6  6  4  10  7
3  10  10  100  4  9  3  7  2  10  9  2  2  9  10  3
4  10  10  4  100  8  2  8  7  2  9  3  6  2  3  5
5  5  7  9  8  100  10  7  7  5  5  7  4  4  3  3
6  2  3  3  2  10  100  5  4  6  3  10  2  9  9  6
7  9  8  7  8  7  5  100  6  3  10  8  10  9  6  6
8  3  10  2  7  7  4  6  100  10  9  3  4  3  3  5
9  6  8  10  2  5  6  3  10  100  9  9  4  9  4  9
10  6  3  9  9  5  3  10  9  9  100  2  8  6  9  7
11  9  6  2  3  7  10  8  3  9  2  100  9  9  5  4
12  3  6  2  6  4  2  10  4  4  8  9  100  8  4  5
13  9  4  9  2  4  9  9  3  9  6  9  8  100  7  2
14  2  10  10  3  3  9  6  3  4  9  5  4  7  100  7
15  4  7  3  5  3  6  6  5  9  7  4  5  2  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  2  100  100  100  100  100  100  5  100  100  100  100  100  3
2  2  100  8  100  100  100  100  100  100  100  100  2  100  100  100
3  100  8  100  8  100  100  100  100  100  100  2  100  100  3  100
4  100  100  8  100  6  10  7  100  100  100  100  100  100  100  100
5  100  100  100  6  100  2  100  100  6  100  100  10  100  100  100
6  100  100  100  10  2  100  5  100  100  100  100  8  100  100  100
7  100  100  100  7  100  5  100  6  100  3  100  6  100  10  100
8  100  100  100  100  100  100  6  100  2  100  100  100  100  100  100
9  5  100  100  100  6  100  100  2  100  6  100  100  8  2  100
10  100  100  100  100  100  100  3  100  6  100  2  100  100  100  100
11  100  100  2  100  100  100  100  100  100  2  100  7  100  100  100
12  100  2  100  100  10  8  6  100  100  100  7  100  4  100  100
13  100  100  100  100  100  100  100  100  8  100  100  4  100  2  100
14  100  100  3  100  100  100  10  100  2  100  100  100  2  100  7
15  3  100  100  100  100  100  100  100  100  100  100  100  100  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  0  0  0  1  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  1  0  0  0
3  .  .  .  0  0  0  0  0  0  0  1  0  0  1  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  1  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  1  0  0  0
3  .  .  .  0  0  0  0  0  0  0  1  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  1  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  2
2  2  12
3  3  11
4  5  6
5  8  9
6  9  14
7  10  11
8  13  14
9  1  15
10  3  14
11  7  10
12  12  13
13  1  9
14  6  7
;
