param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  5  3  5  10  8  8  7  7  2  4  9  4  2  4
2  5  100  10  6  3  2  7  7  10  5  8  10  5  3  2
3  3  10  100  8  7  2  9  4  3  5  4  8  3  3  9
4  5  6  8  100  2  2  2  9  8  7  2  10  5  7  8
5  10  3  7  2  100  3  4  5  8  4  8  5  9  2  9
6  8  2  2  2  3  100  5  2  3  10  9  8  5  2  2
7  8  7  9  2  4  5  100  9  6  6  8  5  3  4  5
8  7  7  4  9  5  2  9  100  8  4  8  9  4  4  2
9  7  10  3  8  8  3  6  8  100  9  10  9  2  3  5
10  2  5  5  7  4  10  6  4  9  100  2  10  7  3  3
11  4  8  4  2  8  9  8  8  10  2  100  2  8  9  6
12  9  10  8  10  5  8  5  9  9  10  2  100  8  2  5
13  4  5  3  5  9  5  3  4  2  7  8  8  100  9  4
14  2  3  3  7  2  2  4  4  3  3  9  2  9  100  8
15  4  2  9  8  9  2  5  2  5  3  6  5  4  8  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  8  100  100  100  100  10  100  3  5  100  100  100  100  4
2  8  100  10  7  100  100  100  100  100  2  100  100  100  100  6
3  100  10  100  3  100  100  5  100  100  100  100  5  100  100  5
4  100  7  3  100  4  100  100  100  100  2  100  100  100  2  100
5  100  100  100  4  100  5  10  2  100  100  8  4  100  100  100
6  100  100  100  100  5  100  5  100  100  5  100  100  100  100  100
7  10  100  5  100  10  5  100  5  100  100  100  100  100  100  100
8  100  100  100  100  2  100  5  100  9  100  100  100  100  100  100
9  3  100  100  100  100  100  100  9  100  10  100  100  100  100  100
10  5  2  100  2  100  5  100  100  10  100  3  100  100  100  8
11  100  100  100  100  8  100  100  100  100  3  100  7  7  8  100
12  100  100  5  100  4  100  100  100  100  100  7  100  9  100  100
13  100  100  100  100  100  100  100  100  100  100  7  9  100  4  100
14  100  100  100  2  100  100  100  100  100  100  8  100  4  100  4
15  4  6  5  100  100  100  100  100  100  8  100  100  100  4  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  1  1  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  1  0  0  0  0  0
3  .  .  .  1  0  0  1  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  1  0  0  0  1  0
5  .  .  .  .  .  0  0  1  0  0  0  1  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  1  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  1  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  1  0  0  0  1  0
5  .  .  .  .  .  0  0  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  10
2  4  10
3  4  14
4  5  8
5  1  9
6  3  4
7  10  11
8  1  15
9  4  5
10  5  12
11  13  14
12  14  15
13  1  10
14  3  7
;
