param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  6  8  4  10  10  4  2  6  9  6  8  4  3  10
2  6  100  3  10  6  5  9  10  2  7  6  6  8  7  4
3  8  3  100  3  6  8  9  6  2  4  9  2  6  4  2
4  4  10  3  100  5  8  4  7  5  8  5  9  10  2  2
5  10  6  6  5  100  3  9  6  4  4  6  4  10  4  9
6  10  5  8  8  3  100  10  3  2  9  10  10  5  8  6
7  4  9  9  4  9  10  100  3  3  6  8  10  5  9  6
8  2  10  6  7  6  3  3  100  10  5  6  7  8  6  8
9  6  2  2  5  4  2  3  10  100  10  9  6  4  5  6
10  9  7  4  8  4  9  6  5  10  100  3  5  9  3  10
11  6  6  9  5  6  10  8  6  9  3  100  2  2  6  10
12  8  6  2  9  4  10  10  7  6  5  2  100  7  4  10
13  4  8  6  10  10  5  5  8  4  9  2  7  100  7  3
14  3  7  4  2  4  8  9  6  5  3  6  4  7  100  5
15  10  4  2  2  9  6  6  8  6  10  10  10  3  5  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  3  100  100  100  100  100  100  100  100  8  100  100  7  2
2  3  100  8  100  100  100  100  100  10  100  5  100  100  100  100
3  100  8  100  3  100  100  10  100  100  100  100  100  100  100  100
4  100  100  3  100  3  100  100  9  5  100  100  100  100  100  100
5  100  100  100  3  100  7  100  100  100  100  100  100  100  100  100
6  100  100  100  100  7  100  10  100  100  100  9  100  100  100  100
7  100  100  10  100  100  10  100  9  100  100  100  100  100  100  100
8  100  100  100  9  100  100  9  100  2  100  100  100  9  100  100
9  100  10  100  5  100  100  100  2  100  2  100  100  100  100  100
10  100  100  100  100  100  100  100  100  2  100  7  100  100  100  100
11  8  5  100  100  100  9  100  100  100  7  100  3  6  100  100
12  100  100  100  100  100  100  100  100  100  100  3  100  3  100  100
13  100  100  100  100  100  100  100  9  100  100  6  3  100  4  3
14  7  100  100  100  100  100  100  100  100  100  100  100  4  100  5
15  2  100  100  100  100  100  100  100  100  100  100  100  3  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  1  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  1
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  15
2  8  9
3  9  10
4  1  2
5  3  4
6  4  5
7  11  12
8  12  13
9  13  15
10  13  14
11  4  9
12  5  6
13  10  11
14  2  3
;
