param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  8  9  8  8  8  5  8  8  8  2  6  3  8  8
2  8  100  7  5  4  9  8  10  9  3  7  8  2  6  5
3  9  7  100  10  4  4  10  6  10  7  6  4  5  3  2
4  8  5  10  100  6  4  3  10  4  3  2  7  6  8  6
5  8  4  4  6  100  3  7  8  7  10  5  4  10  9  4
6  8  9  4  4  3  100  9  6  5  6  4  3  3  5  4
7  5  8  10  3  7  9  100  10  8  5  7  10  10  3  4
8  8  10  6  10  8  6  10  100  4  7  4  7  4  2  8
9  8  9  10  4  7  5  8  4  100  8  8  9  8  10  3
10  8  3  7  3  10  6  5  7  8  100  7  7  9  7  3
11  2  7  6  2  5  4  7  4  8  7  100  10  5  6  9
12  6  8  4  7  4  3  10  7  9  7  10  100  4  6  4
13  3  2  5  6  10  3  10  4  8  9  5  4  100  5  5
14  8  6  3  8  9  5  3  2  10  7  6  6  5  100  5
15  8  5  2  6  4  4  4  8  3  3  9  4  5  5  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  10  100  100  5  9  100  2  100  5  100  100  100  100  5
2  10  100  5  100  9  100  6  100  100  100  100  5  100  100  4
3  100  5  100  5  100  100  3  100  100  100  100  100  100  100  100
4  100  100  5  100  10  100  3  100  100  100  7  100  100  100  100
5  5  9  100  10  100  4  10  100  100  100  100  100  3  100  100
6  9  100  100  100  4  100  6  100  100  100  100  100  100  100  100
7  100  6  3  3  10  6  100  10  100  100  3  100  100  100  100
8  2  100  100  100  100  100  10  100  9  100  100  100  100  100  100
9  100  100  100  100  100  100  100  9  100  7  100  100  6  5  100
10  5  100  100  100  100  100  100  100  7  100  7  100  5  100  100
11  100  100  100  7  100  100  3  100  100  7  100  4  100  100  4
12  100  5  100  100  100  100  100  100  100  100  4  100  6  100  100
13  100  100  100  100  3  100  100  100  6  5  100  6  100  6  100
14  100  100  100  100  100  100  100  100  5  100  100  100  6  100  5
15  5  4  100  100  100  100  100  100  100  100  4  100  100  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  1  0  0  1  0  1  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  1
3  .  .  .  0  0  0  1  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  1  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  1  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  1  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  1
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  1  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  1
3  .  .  .  0  0  0  1  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  1  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  1  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  8
2  3  7
3  4  7
4  5  13
5  7  11
6  2  15
7  5  6
8  11  12
9  11  15
10  1  5
11  1  10
12  1  15
13  9  14
14  14  15
;
