param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  4  7  9  5  4  3  7  4  5  10  5  9  8  7
2  4  100  9  7  9  7  4  2  2  8  10  7  10  6  3
3  7  9  100  6  2  7  6  5  10  10  4  4  4  4  4
4  9  7  6  100  4  10  2  8  3  9  3  3  10  7  4
5  5  9  2  4  100  8  7  10  3  4  2  5  7  6  10
6  4  7  7  10  8  100  2  6  5  8  3  2  2  2  6
7  3  4  6  2  7  2  100  3  2  6  5  6  6  7  6
8  7  2  5  8  10  6  3  100  8  10  4  6  7  9  8
9  4  2  10  3  3  5  2  8  100  3  8  10  9  7  7
10  5  8  10  9  4  8  6  10  3  100  8  3  10  9  7
11  10  10  4  3  2  3  5  4  8  8  100  5  9  10  7
12  5  7  4  3  5  2  6  6  10  3  5  100  9  2  5
13  9  10  4  10  7  2  6  7  9  10  9  9  100  5  4
14  8  6  4  7  6  2  7  9  7  9  10  2  5  100  10
15  7  3  4  4  10  6  6  8  7  7  7  5  4  10  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  7  100  100  7  100  100  2  100  100  100  8  100  100  2
2  7  100  9  100  100  100  100  100  100  2  6  100  100  100  100
3  100  9  100  3  100  100  100  100  100  100  100  100  100  3  100
4  100  100  3  100  2  100  100  100  100  6  100  100  9  100  100
5  7  100  100  2  100  10  100  100  100  100  100  100  100  100  100
6  100  100  100  100  10  100  4  100  100  100  100  100  100  6  100
7  100  100  100  100  100  4  100  3  100  100  100  100  100  100  3
8  2  100  100  100  100  100  3  100  5  100  100  100  100  100  100
9  100  100  100  100  100  100  100  5  100  9  5  100  100  100  100
10  100  2  100  6  100  100  100  100  9  100  6  100  100  100  100
11  100  6  100  100  100  100  100  100  5  6  100  7  100  100  3
12  8  100  100  100  100  100  100  100  100  100  7  100  7  8  100
13  100  100  100  9  100  100  100  100  100  100  100  7  100  7  100
14  100  100  3  100  100  6  100  100  100  100  100  8  7  100  6
15  2  100  100  100  100  100  3  100  100  100  3  100  100  6  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  1  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  1  1  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  1  0
4  .  .  .  .  1  0  0  0  0  1  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  1
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  1  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  1  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  1  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  8
2  1  15
3  2  10
4  4  5
5  3  4
6  3  14
7  7  8
8  11  15
9  6  7
10  8  9
11  2  11
12  4  10
13  11  12
14  12  13
;
