param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  4  4  9  2  5  3  6  7  2  4  3  7  4  7
2  4  100  3  8  4  7  8  7  5  7  3  6  8  5  8
3  4  3  100  6  2  8  3  4  5  5  2  6  5  8  2
4  9  8  6  100  8  9  9  6  6  4  4  2  8  4  5
5  2  4  2  8  100  3  3  7  4  8  6  8  9  5  6
6  5  7  8  9  3  100  6  9  7  3  2  6  2  7  10
7  3  8  3  9  3  6  100  7  3  3  8  6  9  6  5
8  6  7  4  6  7  9  7  100  6  4  10  2  10  6  8
9  7  5  5  6  4  7  3  6  100  8  9  2  2  10  6
10  2  7  5  4  8  3  3  4  8  100  6  10  5  7  9
11  4  3  2  4  6  2  8  10  9  6  100  3  9  8  9
12  3  6  6  2  8  6  6  2  2  10  3  100  9  5  2
13  7  8  5  8  9  2  9  10  2  5  9  9  100  4  4
14  4  5  8  4  5  7  6  6  10  7  8  5  4  100  9
15  7  8  2  5  6  10  5  8  6  9  9  2  4  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  8  100  100  100  100  100  100  100  100  100  100  100  8  6
2  8  100  4  100  10  100  7  100  100  100  100  9  100  100  100
3  100  4  100  6  8  100  6  100  100  100  100  100  100  100  10
4  100  100  6  100  4  100  100  100  100  100  100  100  100  100  100
5  100  10  8  4  100  3  3  100  100  100  100  100  100  100  100
6  100  100  100  100  3  100  2  2  100  3  4  6  100  100  3
7  100  7  6  100  3  2  100  7  100  100  100  100  100  4  100
8  100  100  100  100  100  2  7  100  4  100  100  100  100  3  100
9  100  100  100  100  100  100  100  4  100  10  100  100  100  8  100
10  100  100  100  100  100  3  100  100  10  100  8  7  100  100  100
11  100  100  100  100  100  4  100  100  100  8  100  5  4  100  100
12  100  9  100  100  100  6  100  100  100  7  5  100  10  100  100
13  100  100  100  100  100  100  100  100  100  100  4  10  100  5  100
14  8  100  100  100  100  100  4  3  8  100  100  100  5  100  3
15  6  100  10  100  100  3  100  100  100  100  100  100  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  1  0  1  1  0  0  0  1
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  1  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  1  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  1  0  1  0  0  0  0  1
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  1  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  6  7
2  6  8
3  5  6
4  6  10
5  6  15
6  8  14
7  2  3
8  4  5
9  6  11
10  8  9
11  11  13
12  11  12
13  1  15
14  3  4
;
