param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  8  6  8  3  2  3  9  6  6  5  6  4  4  7
2  8  100  4  4  10  8  2  10  6  5  10  4  8  9  8
3  6  4  100  10  7  8  2  8  3  8  8  5  5  4  4
4  8  4  10  100  7  4  9  8  4  4  4  4  8  3  10
5  3  10  7  7  100  5  8  3  6  3  4  10  6  3  6
6  2  8  8  4  5  100  5  7  10  7  7  9  7  2  4
7  3  2  2  9  8  5  100  6  5  8  6  2  5  6  10
8  9  10  8  8  3  7  6  100  8  10  5  2  3  4  2
9  6  6  3  4  6  10  5  8  100  2  2  6  9  10  6
10  6  5  8  4  3  7  8  10  2  100  3  5  9  10  2
11  5  10  8  4  4  7  6  5  2  3  100  10  3  2  7
12  6  4  5  4  10  9  2  2  6  5  10  100  10  3  9
13  4  8  5  8  6  7  5  3  9  9  3  10  100  10  9
14  4  9  4  3  3  2  6  4  10  10  2  3  10  100  5
15  7  8  4  10  6  4  10  2  6  2  7  9  9  5  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  3  100  6  100  100  100  100  100  100  7  100  100  100  7
2  3  100  2  100  100  100  7  100  100  100  100  5  5  100  100
3  100  2  100  6  100  6  100  100  100  100  4  100  100  100  100
4  6  100  6  100  10  100  100  6  100  100  100  6  8  100  100
5  100  100  100  10  100  4  8  100  5  100  100  100  100  100  100
6  100  100  6  100  4  100  7  100  100  100  100  100  100  100  100
7  100  7  100  100  8  7  100  6  100  100  100  100  100  100  7
8  100  100  100  6  100  100  6  100  4  100  100  2  100  100  100
9  100  100  100  100  5  100  100  4  100  10  100  100  100  100  100
10  100  100  100  100  100  100  100  100  10  100  4  100  100  100  100
11  7  100  4  100  100  100  100  100  100  4  100  4  6  100  3
12  100  5  100  6  100  100  100  2  100  100  4  100  6  100  100
13  100  5  100  8  100  100  100  100  100  100  6  6  100  5  100
14  100  100  100  100  100  100  100  100  100  100  100  100  5  100  3
15  7  100  100  100  100  100  7  100  100  100  3  100  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  1  0  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  1  0  0
3  .  .  .  0  0  0  0  0  0  0  1  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  1  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  1  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  1
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  1  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  1  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  1
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  3
2  8  12
3  1  2
4  11  15
5  14  15
6  3  11
7  5  6
8  8  9
9  10  11
10  11  12
11  2  13
12  5  9
13  1  4
14  7  8
;
