param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  9  2  2  6  5  6  7  4  5  10  5  3  6  9
2  9  100  7  6  4  6  2  4  10  6  9  7  7  2  10
3  2  7  100  10  7  6  9  5  7  9  5  4  2  8  3
4  2  6  10  100  9  7  2  7  5  7  10  8  3  8  3
5  6  4  7  9  100  7  5  8  8  8  10  10  3  3  10
6  5  6  6  7  7  100  4  5  10  9  9  6  9  2  3
7  6  2  9  2  5  4  100  10  6  3  9  7  2  10  8
8  7  4  5  7  8  5  10  100  10  3  7  10  2  7  4
9  4  10  7  5  8  10  6  10  100  3  10  4  7  9  2
10  5  6  9  7  8  9  3  3  3  100  7  3  9  6  5
11  10  9  5  10  10  9  9  7  10  7  100  8  8  3  2
12  5  7  4  8  10  6  7  10  4  3  8  100  7  8  6
13  3  7  2  3  3  9  2  2  7  9  8  7  100  6  5
14  6  2  8  8  3  2  10  7  9  6  3  8  6  100  10
15  9  10  3  3  10  3  8  4  2  5  2  6  5  10  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  5  100  100  100  100  7  100  100  6  3  4  100  100  9
2  5  100  6  100  100  100  100  100  100  100  100  2  10  7  100
3  100  6  100  7  100  2  100  6  100  100  4  100  100  100  100
4  100  100  7  100  9  100  100  9  100  2  2  100  100  100  100
5  100  100  100  9  100  9  100  100  100  100  100  100  7  100  100
6  100  100  2  100  9  100  8  100  4  100  100  7  100  100  100
7  7  100  100  100  100  8  100  3  100  100  100  100  100  100  100
8  100  100  6  9  100  100  3  100  3  7  100  5  100  100  100
9  100  100  100  100  100  4  100  3  100  7  100  100  100  100  100
10  6  100  100  2  100  100  100  7  7  100  2  100  100  100  100
11  3  100  4  2  100  100  100  100  100  2  100  6  100  100  100
12  4  2  100  100  100  7  100  5  100  100  6  100  10  2  100
13  100  10  100  100  7  100  100  100  100  100  100  10  100  4  100
14  100  7  100  100  100  100  100  100  100  100  100  2  4  100  5
15  9  100  100  100  100  100  100  100  100  100  100  100  100  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  0  0  1  1  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  1  0  0  0
3  .  .  .  0  0  1  0  0  0  0  1  0  0  0  0
4  .  .  .  .  0  0  0  0  0  1  1  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  1  0  0
6  .  .  .  .  .  .  0  0  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  1  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  0  0  0  0  1  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  1  0  0  0
3  .  .  .  0  0  1  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  1  1  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  1  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  12
2  3  6
3  4  10
4  4  11
5  12  14
6  1  11
7  7  8
8  8  9
9  1  12
10  3  11
11  6  9
12  13  14
13  14  15
14  5  13
;
