param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  2  2  10  7  4  8  3  7  8  6  4  7  8  3
2  2  100  5  3  7  6  3  6  8  8  8  7  7  6  9
3  2  5  100  10  5  2  10  5  2  7  3  2  6  3  5
4  10  3  10  100  9  3  6  3  5  5  8  2  7  2  6
5  7  7  5  9  100  3  9  3  4  9  4  8  5  8  3
6  4  6  2  3  3  100  3  2  8  10  5  9  9  8  4
7  8  3  10  6  9  3  100  8  2  6  7  4  3  8  2
8  3  6  5  3  3  2  8  100  5  6  2  2  6  3  4
9  7  8  2  5  4  8  2  5  100  6  9  4  10  10  4
10  8  8  7  5  9  10  6  6  6  100  7  9  8  4  3
11  6  8  3  8  4  5  7  2  9  7  100  10  5  5  7
12  4  7  2  2  8  9  4  2  4  9  10  100  3  9  6
13  7  7  6  7  5  9  3  6  10  8  5  3  100  7  7
14  8  6  3  2  8  8  8  3  10  4  5  9  7  100  8
15  3  9  5  6  3  4  2  4  4  3  7  6  7  8  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  2  100  9  5  100  100  100  100  100  100  100  100  100  3
2  2  100  8  100  100  100  100  100  100  100  4  3  3  100  6
3  100  8  100  4  100  100  3  100  100  100  100  6  100  100  100
4  9  100  4  100  5  100  100  100  100  100  100  100  100  100  100
5  5  100  100  5  100  8  2  100  100  100  5  100  100  100  100
6  100  100  100  100  8  100  8  100  5  6  100  4  2  100  100
7  100  100  3  100  2  8  100  4  5  100  100  100  100  100  100
8  100  100  100  100  100  100  4  100  3  100  100  100  100  8  100
9  100  100  100  100  100  5  5  3  100  7  100  100  8  100  100
10  100  100  100  100  100  6  100  100  7  100  3  100  100  100  100
11  100  4  100  100  5  100  100  100  100  3  100  10  100  100  100
12  100  3  6  100  100  4  100  100  100  100  10  100  3  100  100
13  100  3  100  100  100  2  100  100  8  100  100  3  100  8  100
14  100  100  100  100  100  100  100  8  100  100  100  100  8  100  10
15  3  6  100  100  100  100  100  100  100  100  100  100  100  10  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  1  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  1  1  1  0  0
3  .  .  .  1  0  0  1  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  1  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  1  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  1  1  0  0
3  .  .  .  0  0  0  1  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  1  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  2
2  5  7
3  6  13
4  1  15
5  2  12
6  2  13
7  3  7
8  8  9
9  10  11
10  2  11
11  3  4
12  7  8
13  1  5
14  8  14
;
