param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  6  5  7  9  6  7  5  2  4  9  5  4  8  2
2  6  100  6  8  7  2  10  9  9  9  5  9  3  7  3
3  5  6  100  8  2  10  5  5  5  6  2  9  2  7  7
4  7  8  8  100  10  9  4  10  9  7  4  8  5  6  2
5  9  7  2  10  100  9  4  3  6  4  4  10  8  8  10
6  6  2  10  9  9  100  3  10  10  5  2  8  2  8  7
7  7  10  5  4  4  3  100  2  8  9  10  2  2  7  7
8  5  9  5  10  3  10  2  100  2  2  8  2  3  2  6
9  2  9  5  9  6  10  8  2  100  5  4  9  3  8  8
10  4  9  6  7  4  5  9  2  5  100  10  7  7  5  6
11  9  5  2  4  4  2  10  8  4  10  100  6  6  9  2
12  5  9  9  8  10  8  2  2  9  7  6  100  9  6  5
13  4  3  2  5  8  2  2  3  3  7  6  9  100  5  5
14  8  7  7  6  8  8  7  2  8  5  9  6  5  100  9
15  2  3  7  2  10  7  7  6  8  6  2  5  5  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  7  100  100  100  100  3  9  100  100  100  100  6  100  9
2  7  100  2  100  100  100  100  10  5  100  9  100  100  100  100
3  100  2  100  8  100  100  100  100  100  100  100  100  100  100  100
4  100  100  8  100  7  100  100  100  100  10  100  100  100  100  100
5  100  100  100  7  100  8  100  100  100  100  100  3  100  100  100
6  100  100  100  100  8  100  6  100  100  100  100  100  9  100  100
7  3  100  100  100  100  6  100  10  100  100  100  100  100  2  3
8  9  10  100  100  100  100  10  100  10  9  100  100  2  100  2
9  100  5  100  100  100  100  100  10  100  8  100  100  100  100  100
10  100  100  100  10  100  100  100  9  8  100  8  100  100  100  100
11  100  9  100  100  100  100  100  100  100  8  100  9  100  100  100
12  100  100  100  100  3  100  100  100  100  100  9  100  2  100  100
13  6  100  100  100  100  9  100  2  100  100  100  2  100  4  8
14  100  100  100  100  100  100  2  100  100  100  100  100  4  100  9
15  9  100  100  100  100  100  3  2  100  100  100  100  8  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  0  1  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  1  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  1  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  1  1
8  .  .  .  .  .  .  .  .  0  0  0  0  1  0  1
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  0  0  0  0  0  1  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  1  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  1  0
8  .  .  .  .  .  .  .  .  0  0  0  0  1  0  1
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  3
2  7  14
3  8  13
4  8  15
5  12  13
6  1  7
7  5  12
8  7  15
9  2  9
10  6  7
11  1  2
12  4  5
13  9  10
14  10  11
;
